日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2017-01-16,买入,4.50,4457,20045.35,4.33,39.04%,0.20,0.00
2017-04-20,买入,3.70,5912,21864.50,3.80,29.69%,0.40,0.00
2020-06-23,卖出,10.76,-922,9920.59,7.15,71.18%,0.60,0.00
2020-07-07,卖出,14.23,-5170,73561.70,8.60,81.58%,0.30,0.00
2021-01-08,卖出,19.83,-848,16811.85,9.18,81.67%,0.30,0.00
2021-05-26,卖出,21.85,-207,4523.08,9.23,81.09%,0.30,0.00
2022-09-19,买入,16.10,2026,32625.60,4.14,24.74%,0.40,0.00
2022-09-26,买入,14.98,4427,66320.53,3.92,19.38%,0.70,0.00
2024-01-16,买入,12.71,5016,63759.64,2.91,9.82%,1.00,0.00
