日期,周期ID,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,距上次调仓天数,触发涨跌幅,目标金额,手续费
2021-01-04,Cycle_1,初始建仓,5267.72,1.9,10008.66,1.9,10008.66,0,0.00%,10000.00,0.50
2021-01-04,Cycle_2,初始建仓,5267.72,3.8,20017.33,3.8,20017.33,0,0.00%,20000.00,1.00
2021-01-04,Cycle_3,初始建仓,5267.72,5.7,30025.99,5.7,30025.99,0,0.00%,30000.00,1.50
2021-01-04,Cycle_4,初始建仓,5267.72,7.59,39981.98,7.59,39981.98,0,0.00%,40000.00,2.00
2021-01-06,Cycle_1,减仓,5417.67,-0.04,-216.71,1.8599999999999999,10076.86,2,2.85%,10055.60,0.01
2021-01-07,Cycle_2,减仓,5513.66,-0.13,-716.78,3.67,20235.12,3,4.67%,20216.80,0.04
2021-01-12,Cycle_1,减仓,5596.35,-0.06,-335.78,1.7999999999999998,10073.43,4,3.30%,10061.20,0.02
2021-01-14,Cycle_1,补仓,5470.46,0.03,164.11,1.8299999999999998,10010.94,2,-2.25%,10005.60,0.01
2021-01-25,Cycle_1,减仓,5625.92,-0.04,-225.04,1.7899999999999998,10070.40,7,2.84%,10069.60,0.01
2021-01-26,Cycle_1,补仓,5512.97,0.02,110.26,1.8099999999999998,9978.47,1,-2.01%,10002.80,0.01
2021-01-28,Cycle_1,补仓,5377.14,0.05,268.86,1.8599999999999999,10001.49,2,-2.46%,10005.60,0.01
2021-02-02,Cycle_1,减仓,5501.09,-0.03,-165.03,1.8299999999999998,10067.00,3,2.31%,10058.40,0.01
2021-02-09,Cycle_1,减仓,5686.25,-0.06,-341.18,1.7699999999999998,10064.66,5,3.37%,10064.00,0.02
2021-02-10,Cycle_1,减仓,5807.72,-0.04,-232.31,1.7299999999999998,10047.35,1,2.14%,10052.80,0.01
2021-02-10,Cycle_2,减仓,5807.72,-0.17,-987.31,3.5,20327.02,24,5.33%,20334.40,0.05
2021-02-10,Cycle_3,减仓,5807.72,-0.39,-2265.01,5.3100000000000005,30838.99,27,10.25%,30826.80,0.11
2021-02-22,Cycle_1,补仓,5597.33,0.06,335.84,1.7899999999999998,10019.23,3,-3.62%,10008.40,0.02
2021-02-24,Cycle_1,补仓,5437.57,0.05,271.88,1.8399999999999999,10005.13,2,-2.85%,10005.60,0.01
2021-02-24,Cycle_2,补仓,5437.57,0.18,978.76,3.68,20010.25,5,-6.37%,20028.00,0.05
2021-02-26,Cycle_3,补仓,5336.76,0.32,1707.76,5.630000000000001,30045.96,7,-8.11%,30058.80,0.09
2021-03-04,Cycle_1,补仓,5280.71,0.06,316.84,1.9,10033.34,6,-2.88%,10016.80,0.02
2021-03-08,Cycle_1,补仓,5080.02,0.07,355.60,1.97,10007.65,2,-3.80%,10005.60,0.02
2021-03-08,Cycle_2,补仓,5080.02,0.27,1371.61,3.95,20066.10,8,-6.58%,20044.80,0.07
2021-03-09,Cycle_1,补仓,4971.00,0.04,198.84,2.01,9991.71,1,-2.15%,10002.80,0.01
2021-03-11,Cycle_1,减仓,5128.22,-0.05,-256.41,1.9599999999999997,10051.30,2,3.16%,10055.60,0.01
2021-03-19,Cycle_1,补仓,5007.09,0.04,200.28,1.9999999999999998,10014.18,6,-2.36%,10016.80,0.01
2021-04-01,Cycle_1,减仓,5110.78,-0.03,-153.32,1.9699999999999998,10068.23,9,2.07%,10075.20,0.01
2021-04-12,Cycle_1,补仓,4947.75,0.05,247.39,2.0199999999999996,9994.45,6,-3.19%,10016.80,0.01
2021-04-19,Cycle_1,减仓,5087.02,-0.04,-203.48,1.9799999999999995,10072.29,5,2.81%,10064.00,0.01
2021-05-25,Cycle_1,减仓,5318.48,-0.08,-425.48,1.8999999999999995,10105.11,23,4.55%,10114.40,0.02
2021-05-25,Cycle_2,减仓,5318.48,-0.1,-531.85,3.85,20476.14,52,4.69%,20491.20,0.03
2021-06-15,Cycle_1,补仓,5166.56,0.04,206.66,1.9399999999999995,10023.13,14,-2.86%,10039.20,0.01
2021-06-16,Cycle_2,补仓,5080.49,0.1,508.05,3.95,20067.94,15,-4.47%,20084.00,0.03
2021-07-26,Cycle_1,补仓,4925.30,0.11,541.78,2.0499999999999994,10096.86,29,-4.67%,10081.20,0.03
2021-07-27,Cycle_1,补仓,4751.31,0.06,285.08,2.1099999999999994,10025.27,1,-3.53%,10002.80,0.01
2021-07-27,Cycle_2,补仓,4751.31,0.29,1377.88,4.24,20145.57,29,-6.48%,20162.40,0.07
2021-07-27,Cycle_3,补仓,4751.31,0.86,4086.13,6.490000000000001,30836.02,102,-10.97%,30856.80,0.20
2021-07-29,Cycle_1,减仓,4850.27,-0.04,-194.01,2.0699999999999994,10040.07,2,2.08%,10055.60,0.01
2021-08-04,Cycle_1,减仓,4978.85,-0.05,-248.94,2.0199999999999996,10057.27,4,2.65%,10061.20,0.01
2021-08-04,Cycle_2,减仓,4978.85,-0.18,-896.19,4.0600000000000005,20214.12,6,4.79%,20233.60,0.04
2021-08-17,Cycle_1,补仓,4837.40,0.05,241.87,2.0699999999999994,10013.43,9,-2.84%,10025.20,0.01
2021-08-20,Cycle_2,补仓,4769.27,0.15,715.39,4.210000000000001,20078.62,12,-4.21%,20067.20,0.04
2021-09-07,Cycle_1,减仓,4992.83,-0.05,-249.64,2.0199999999999996,10085.52,15,3.21%,10092.00,0.01
2021-09-07,Cycle_2,减仓,4992.83,-0.15,-748.92,4.0600000000000005,20270.89,12,4.69%,20267.20,0.04
2021-09-15,Cycle_1,补仓,4867.32,0.04,194.69,2.0599999999999996,10026.68,6,-2.51%,10016.80,0.01
2021-10-25,Cycle_1,减仓,4979.52,-0.03,-149.39,2.03,10108.43,21,2.31%,10108.80,0.01
2021-10-28,Cycle_1,补仓,4864.14,0.03,145.92,2.0599999999999996,10020.12,3,-2.32%,10008.40,0.01
2021-12-08,Cycle_1,减仓,4995.93,-0.03,-149.88,2.03,10141.74,29,2.71%,10131.20,0.01
2021-12-20,Cycle_1,补仓,4880.42,0.02,97.61,2.05,10004.86,8,-2.31%,10022.40,0.00
2022-01-13,Cycle_1,补仓,4765.92,0.06,285.96,2.11,10056.09,17,-2.35%,10047.60,0.01
2022-01-13,Cycle_2,补仓,4765.92,0.24,1143.82,4.300000000000001,20493.45,84,-4.54%,20470.40,0.06
2022-01-27,Cycle_1,补仓,4619.88,0.06,277.19,2.17,10025.13,10,-3.06%,10028.00,0.01
2022-01-28,Cycle_2,补仓,4563.77,0.1,456.38,4.4,20080.60,11,-4.24%,20061.60,0.02
2022-03-04,Cycle_1,补仓,4496.43,0.07,314.75,2.2399999999999998,10072.00,21,-2.67%,10058.80,0.02
2022-03-07,Cycle_1,补仓,4352.78,0.06,261.17,2.3,10011.39,1,-3.19%,10002.80,0.01
2022-03-07,Cycle_2,补仓,4352.78,0.22,957.61,4.62,20109.83,21,-4.62%,20117.60,0.05
2022-03-07,Cycle_3,补仓,4352.78,0.68,2959.89,7.170000000000001,31209.41,146,-8.39%,31226.40,0.15
2022-03-07,Cycle_4,补仓,4352.78,2.33,10141.97,9.92,43179.55,282,-17.37%,43158.40,0.51
2022-03-08,Cycle_1,补仓,4265.39,0.05,213.27,2.3499999999999996,10023.67,1,-2.01%,10002.80,0.01
2022-03-14,Cycle_1,补仓,4174.76,0.05,208.74,2.3999999999999995,10019.42,4,-2.12%,10011.20,0.01
2022-03-14,Cycle_2,补仓,4174.76,0.18,751.46,4.8,20038.84,5,-4.09%,20028.00,0.04
2022-03-15,Cycle_1,补仓,3983.81,0.11,438.22,2.5099999999999993,9999.37,1,-4.57%,10002.80,0.02
2022-03-15,Cycle_2,补仓,3983.81,0.22,876.44,5.02,19998.74,1,-4.57%,20005.60,0.04
2022-03-15,Cycle_3,补仓,3983.81,0.37,1474.01,7.540000000000001,30037.94,6,-8.48%,30050.40,0.07
2022-03-16,Cycle_1,减仓,4156.08,-0.09,-374.05,2.4199999999999995,10057.72,1,4.32%,10052.80,0.02
2022-03-16,Cycle_2,减仓,4156.08,-0.16,-664.97,4.859999999999999,20198.55,1,4.32%,20205.60,0.03
2022-03-18,Cycle_1,减仓,4265.90,-0.06,-255.95,2.3599999999999994,10067.53,2,2.64%,10055.60,0.01
2022-03-25,Cycle_1,补仓,4174.57,0.04,166.98,2.3999999999999995,10018.98,5,-2.14%,10014.00,0.01
2022-04-01,Cycle_1,减仓,4276.16,-0.05,-213.81,2.3499999999999996,10048.97,5,2.43%,10064.00,0.01
2022-04-11,Cycle_1,补仓,4100.07,0.09,369.01,2.4399999999999995,10004.17,4,-4.12%,10011.20,0.02
2022-04-14,Cycle_1,减仓,4191.57,-0.04,-167.66,2.3999999999999995,10059.76,3,2.23%,10058.40,0.01
2022-04-20,Cycle_1,补仓,4070.79,0.06,244.25,2.4599999999999995,10014.14,4,-2.88%,10011.20,0.01
2022-04-25,Cycle_1,补仓,3814.91,0.16,610.39,2.6199999999999997,9995.07,3,-6.29%,10008.40,0.03
2022-04-25,Cycle_2,补仓,3814.91,0.42,1602.26,5.279999999999999,20142.74,26,-8.21%,20145.60,0.08
2022-04-27,Cycle_1,减仓,3895.54,-0.04,-155.82,2.5799999999999996,10050.48,2,2.11%,10055.60,0.01
2022-04-29,Cycle_1,减仓,4016.24,-0.08,-321.30,2.4999999999999996,10040.60,2,3.10%,10055.60,0.02
2022-04-29,Cycle_2,减仓,4016.24,-0.24,-963.90,5.039999999999999,20241.85,4,5.28%,20222.40,0.05
2022-05-06,Cycle_1,补仓,3908.82,0.06,234.53,2.5599999999999996,10006.57,2,-2.67%,10005.60,0.01
2022-05-13,Cycle_1,减仓,3988.60,-0.04,-159.54,2.5199999999999996,10051.27,5,2.04%,10064.00,0.01
2022-05-20,Cycle_1,减仓,4077.60,-0.05,-203.88,2.4699999999999998,10071.67,5,2.23%,10064.00,0.01
2022-05-24,Cycle_1,补仓,3959.15,0.06,237.55,2.53,10016.66,2,-2.90%,10005.60,0.01
2022-05-31,Cycle_1,减仓,4091.52,-0.07,-286.41,2.46,10065.13,5,3.34%,10064.00,0.01
2022-06-07,Cycle_1,减仓,4179.13,-0.05,-208.96,2.41,10071.70,4,2.14%,10061.20,0.01
2022-06-07,Cycle_2,减仓,4179.13,-0.18,-752.24,4.859999999999999,20310.56,23,4.06%,20328.80,0.04
2022-06-15,Cycle_1,减仓,4278.22,-0.06,-256.69,2.35,10053.81,6,2.37%,10066.80,0.01
2022-06-17,Cycle_3,减仓,4309.04,-0.32,-1378.89,7.220000000000001,31111.30,62,8.16%,31120.80,0.07
2022-06-24,Cycle_1,减仓,4394.77,-0.06,-263.69,2.29,10064.03,7,2.72%,10069.60,0.01
2022-06-24,Cycle_2,减仓,4394.77,-0.25,-1098.69,4.609999999999999,20259.90,13,5.16%,20272.80,0.05
2022-06-28,Cycle_1,减仓,4490.52,-0.05,-224.53,2.24,10058.76,2,2.18%,10055.60,0.01
2022-07-11,Cycle_1,补仓,4354.62,0.06,261.28,2.3000000000000003,10015.62,9,-3.03%,10025.20,0.01
2022-07-15,Cycle_1,补仓,4248.53,0.06,254.91,2.3600000000000003,10026.52,4,-2.44%,10011.20,0.01
2022-07-25,Cycle_2,补仓,4212.64,0.17,716.15,4.779999999999999,20136.44,21,-4.14%,20117.60,0.04
2022-08-02,Cycle_1,补仓,4107.02,0.08,328.56,2.4400000000000004,10021.14,12,-3.33%,10033.60,0.02
2022-08-11,Cycle_1,减仓,4193.54,-0.04,-167.74,2.4000000000000004,10064.50,7,2.11%,10069.60,0.01
2022-08-24,Cycle_1,补仓,4082.42,0.06,244.95,2.4600000000000004,10042.75,9,-2.65%,10025.20,0.01
2022-09-01,Cycle_2,补仓,4043.74,0.2,808.75,4.9799999999999995,20137.82,28,-4.01%,20156.80,0.04
2022-09-16,Cycle_1,补仓,3932.68,0.09,353.94,2.5500000000000003,10028.34,16,-3.67%,10044.80,0.02
2022-09-16,Cycle_3,补仓,3932.68,0.55,2162.98,7.7700000000000005,30556.94,64,-8.73%,30537.60,0.11
2022-09-22,Cycle_2,补仓,3869.34,0.21,812.56,5.1899999999999995,20081.90,14,-4.31%,20078.40,0.04
2022-09-26,Cycle_1,补仓,3836.68,0.06,230.20,2.6100000000000003,10013.73,6,-2.44%,10016.80,0.01
2022-10-10,Cycle_1,补仓,3720.94,0.08,297.67,2.6900000000000004,10009.32,5,-3.02%,10014.00,0.01
2022-10-14,Cycle_1,减仓,3842.47,-0.07,-268.97,2.6200000000000006,10067.27,4,3.27%,10061.20,0.01
2022-10-20,Cycle_1,补仓,3754.93,0.05,187.75,2.6700000000000004,10025.65,4,-2.28%,10011.20,0.01
2022-10-24,Cycle_1,补仓,3633.37,0.08,290.67,2.7500000000000004,9991.78,2,-3.24%,10005.60,0.01
2022-10-24,Cycle_2,补仓,3633.37,0.34,1235.35,5.529999999999999,20092.55,17,-6.10%,20095.20,0.06
2022-10-24,Cycle_4,补仓,3633.37,1.56,5668.06,11.48,41711.13,153,-16.53%,41713.60,0.28
2022-10-28,Cycle_1,补仓,3541.33,0.08,283.31,2.8300000000000005,10021.96,4,-2.53%,10011.20,0.01
2022-10-28,Cycle_3,补仓,3541.33,0.76,2691.41,8.530000000000001,30207.54,25,-9.95%,30210.00,0.13
2022-11-01,Cycle_1,减仓,3634.17,-0.06,-218.05,2.7700000000000005,10066.66,2,2.62%,10055.60,0.01
2022-11-04,Cycle_1,减仓,3767.17,-0.1,-376.72,2.6700000000000004,10058.36,3,3.66%,10058.40,0.02
2022-11-10,Cycle_1,补仓,3685.69,0.05,184.28,2.72,10025.07,4,-2.16%,10011.20,0.01
2022-11-11,Cycle_1,减仓,3788.44,-0.07,-265.19,2.6500000000000004,10039.36,1,2.79%,10052.80,0.01
2022-11-11,Cycle_2,减仓,3788.44,-0.18,-681.92,5.35,20268.15,14,4.27%,20278.40,0.03
2022-11-15,Cycle_1,减仓,3865.97,-0.05,-193.30,2.6000000000000005,10051.53,2,2.05%,10055.60,0.01
2022-11-15,Cycle_3,减仓,3865.97,-0.59,-2280.92,7.940000000000001,30695.82,12,9.17%,30700.80,0.11
2022-11-21,Cycle_1,补仓,3769.13,0.06,226.15,2.6600000000000006,10025.88,4,-2.51%,10011.20,0.01
2022-11-29,Cycle_1,减仓,3848.42,-0.04,-153.94,2.6200000000000006,10082.87,6,2.10%,10066.80,0.01
2022-12-05,Cycle_1,减仓,3946.88,-0.07,-276.28,2.5500000000000007,10064.53,4,2.56%,10061.20,0.01
2022-12-05,Cycle_2,减仓,3946.88,-0.21,-828.84,5.14,20286.94,16,4.18%,20289.60,0.04
2022-12-20,Cycle_1,补仓,3829.02,0.07,268.03,2.6200000000000006,10032.03,11,-2.99%,10030.80,0.01
2023-01-05,Cycle_1,减仓,3968.58,-0.08,-317.49,2.5400000000000005,10080.19,11,3.64%,10080.80,0.02
2023-01-13,Cycle_1,减仓,4074.38,-0.07,-285.21,2.4700000000000006,10063.71,6,2.67%,10066.80,0.01
2023-01-16,Cycle_2,减仓,4137.96,-0.22,-910.35,4.92,20358.78,29,4.84%,20362.40,0.05
2023-01-19,Cycle_1,减仓,4156.01,-0.05,-207.80,2.420000000000001,10057.54,4,2.00%,10061.20,0.01
2023-01-20,Cycle_3,减仓,4181.53,-0.53,-2216.21,7.410000000000001,30985.11,47,8.16%,30994.80,0.11
2023-02-17,Cycle_1,补仓,4034.51,0.07,282.42,2.4900000000000007,10045.92,16,-2.92%,10044.80,0.01
2023-02-20,Cycle_1,减仓,4133.49,-0.06,-248.01,2.4300000000000006,10044.38,1,2.45%,10052.80,0.01
2023-02-27,Cycle_1,补仓,4043.84,0.05,202.19,2.4800000000000004,10028.73,5,-2.17%,10014.00,0.01
2023-03-01,Cycle_1,减仓,4126.94,-0.04,-165.08,2.4400000000000004,10069.74,2,2.05%,10055.60,0.01
2023-03-08,Cycle_1,补仓,4034.11,0.04,161.36,2.4800000000000004,10004.59,5,-2.25%,10014.00,0.01
2023-03-10,Cycle_2,补仓,3967.14,0.17,674.41,5.09,20192.72,34,-4.13%,20190.40,0.03
2023-03-16,Cycle_1,补仓,3939.15,0.06,236.35,2.5400000000000005,10005.44,6,-2.35%,10016.80,0.01
2023-03-23,Cycle_1,减仓,4039.09,-0.05,-201.95,2.4900000000000007,10057.33,5,2.54%,10064.00,0.01
2023-04-07,Cycle_1,减仓,4123.28,-0.05,-206.16,2.440000000000001,10060.80,10,2.08%,10078.00,0.01
2023-04-17,Cycle_2,减仓,4149.38,-0.19,-788.38,4.8999999999999995,20331.98,25,4.59%,20340.00,0.04
2023-04-21,Cycle_1,补仓,4032.57,0.05,201.63,2.4900000000000007,10041.09,10,-2.20%,10028.00,0.01
2023-04-24,Cycle_2,补仓,3982.64,0.13,517.74,5.029999999999999,20032.69,5,-4.02%,20028.00,0.03
2023-05-12,Cycle_1,补仓,3937.76,0.06,236.27,2.5500000000000007,10041.29,12,-2.35%,10033.60,0.01
2023-05-25,Cycle_1,补仓,3850.50,0.05,192.52,2.6000000000000005,10011.30,9,-2.22%,10025.20,0.01
2023-05-29,Cycle_3,补仓,3833.94,0.59,2262.03,8.000000000000002,30671.53,82,-8.31%,30688.80,0.11
2023-05-31,Cycle_2,补仓,3798.54,0.27,1025.61,5.299999999999999,20132.28,24,-4.62%,20134.40,0.05
2023-06-16,Cycle_1,减仓,3963.35,-0.05,-198.17,2.5500000000000007,10106.54,16,2.93%,10094.80,0.01
2023-06-16,Cycle_2,减仓,3963.35,-0.19,-753.04,5.1099999999999985,20252.72,12,4.34%,20267.20,0.04
2023-06-21,Cycle_1,补仓,3864.03,0.04,154.56,2.5900000000000007,10007.84,3,-2.51%,10008.40,0.01
2023-07-28,Cycle_1,减仓,3992.74,-0.06,-239.56,2.5300000000000007,10101.63,25,3.33%,10120.00,0.01
2023-08-11,Cycle_1,补仓,3884.25,0.05,194.21,2.5800000000000005,10021.37,10,-2.72%,10028.00,0.01
2023-08-18,Cycle_1,补仓,3784.00,0.07,264.88,2.6500000000000004,10027.61,5,-2.58%,10014.00,0.01
2023-08-18,Cycle_2,补仓,3784.00,0.24,908.16,5.349999999999999,20244.42,43,-4.53%,20240.80,0.05
2023-08-23,Cycle_1,补仓,3696.63,0.06,221.80,2.7100000000000004,10017.88,3,-2.31%,10008.40,0.01
2023-08-29,Cycle_1,减仓,3790.11,-0.06,-227.41,2.6500000000000004,10043.78,4,2.53%,10061.20,0.01
2023-09-15,Cycle_1,补仓,3708.78,0.06,222.53,2.7100000000000004,10050.78,13,-2.15%,10036.40,0.01
2023-10-16,Cycle_1,补仓,3626.60,0.06,217.60,2.7700000000000005,10045.67,15,-2.22%,10042.00,0.01
2023-10-16,Cycle_2,补仓,3626.60,0.22,797.85,5.5699999999999985,20200.15,35,-4.16%,20196.00,0.04
2023-10-19,Cycle_1,补仓,3533.54,0.06,212.01,2.8300000000000005,9999.93,3,-2.57%,10008.40,0.01
2023-10-20,Cycle_3,补仓,3510.59,0.78,2738.26,8.780000000000001,30822.97,96,-8.43%,30806.40,0.14
2023-10-23,Cycle_2,补仓,3474.24,0.19,660.11,5.759999999999999,20011.64,5,-4.20%,20028.00,0.03
2023-11-06,Cycle_1,减仓,3632.61,-0.05,-181.63,2.7800000000000007,10098.65,12,2.80%,10083.60,0.01
2023-11-06,Cycle_2,减仓,3632.61,-0.18,-653.87,5.579999999999999,20269.95,10,4.56%,20256.00,0.03
2023-11-22,Cycle_1,补仓,3544.42,0.05,177.22,2.8300000000000005,10030.70,12,-2.43%,10033.60,0.01
2023-12-01,Cycle_2,补仓,3482.88,0.19,661.75,5.77,20096.23,19,-4.12%,20106.40,0.03
2023-12-04,Cycle_1,补仓,3460.14,0.07,242.21,2.9000000000000004,10034.40,8,-2.38%,10022.40,0.01
2023-12-13,Cycle_1,补仓,3369.61,0.07,235.87,2.97,10007.73,7,-2.62%,10019.60,0.01
2023-12-15,Cycle_2,补仓,3341.55,0.23,768.56,6.0,20049.31,10,-4.06%,20056.00,0.04
2023-12-20,Cycle_1,补仓,3297.50,0.07,230.83,3.04,10024.41,5,-2.14%,10014.00,0.01
2023-12-28,Cycle_1,减仓,3414.54,-0.09,-307.31,2.95,10072.89,6,3.55%,10066.80,0.02
2024-01-05,Cycle_1,补仓,3329.11,0.06,199.75,3.0100000000000002,10020.63,5,-2.50%,10014.00,0.01
2024-01-17,Cycle_1,补仓,3229.08,0.09,290.62,3.1,10010.15,8,-3.00%,10022.40,0.01
2024-01-17,Cycle_3,补仓,3229.08,0.67,2163.48,9.450000000000001,30514.82,62,-8.02%,30520.80,0.11
2024-01-25,Cycle_1,减仓,3342.92,-0.09,-300.86,3.0100000000000002,10062.19,6,3.53%,10066.80,0.02
2024-01-30,Cycle_1,补仓,3245.04,0.07,227.15,3.08,9994.72,3,-2.93%,10008.40,0.01
2024-02-02,Cycle_1,补仓,3179.63,0.07,222.57,3.15,10015.83,3,-2.02%,10008.40,0.01
2024-02-02,Cycle_2,补仓,3179.63,0.35,1112.87,6.35,20190.64,34,-4.85%,20190.40,0.06
2024-02-06,Cycle_1,减仓,3311.69,-0.11,-364.29,3.04,10067.54,2,4.15%,10055.60,0.02
2024-02-06,Cycle_2,减仓,3311.69,-0.25,-827.92,6.1,20201.32,2,4.15%,20211.20,0.04
2024-02-19,Cycle_1,减仓,3403.81,-0.08,-272.30,2.96,10075.27,3,2.78%,10058.40,0.01
2024-02-21,Cycle_2,减仓,3456.87,-0.25,-864.22,5.85,20222.70,5,4.38%,20228.00,0.04
2024-02-22,Cycle_1,减仓,3486.67,-0.08,-278.93,2.88,10041.62,3,2.43%,10058.40,0.01
2024-02-23,Cycle_3,减仓,3489.74,-0.63,-2198.54,8.82,30779.52,21,8.07%,30776.40,0.11
2024-03-05,Cycle_1,减仓,3565.51,-0.06,-213.93,2.82,10054.75,8,2.26%,10072.40,0.01
2024-03-12,Cycle_2,减仓,3597.49,-0.21,-755.47,5.64,20289.87,14,4.07%,20278.40,0.04
2024-04-12,Cycle_1,补仓,3475.84,0.08,278.07,2.9,10079.93,26,-2.52%,10072.80,0.01
2024-04-15,Cycle_1,减仓,3549.08,-0.07,-248.44,2.83,10043.88,1,2.11%,10052.80,0.01
2024-04-29,Cycle_1,减仓,3623.91,-0.05,-181.20,2.7800000000000002,10074.48,10,2.11%,10078.00,0.01
2024-06-11,Cycle_1,补仓,3542.88,0.06,212.57,2.8400000000000003,10061.77,27,-2.24%,10075.60,0.01
2024-06-25,Cycle_1,补仓,3457.90,0.06,207.47,2.9000000000000004,10027.92,10,-2.40%,10028.00,0.01
2024-07-04,Cycle_2,补仓,3445.81,0.29,999.29,5.93,20433.67,76,-4.22%,20425.60,0.05
2024-07-19,Cycle_1,减仓,3539.02,-0.05,-176.95,2.8500000000000005,10086.19,18,2.35%,10100.40,0.01
2024-07-23,Cycle_1,补仓,3439.88,0.06,206.39,2.9100000000000006,10010.04,2,-2.80%,10005.60,0.01
2024-07-30,Cycle_1,补仓,3369.38,0.06,202.16,2.9700000000000006,10007.06,5,-2.05%,10014.00,0.01
2024-07-31,Cycle_1,减仓,3442.08,-0.05,-172.10,2.920000000000001,10050.89,1,2.16%,10052.80,0.01
2024-08-05,Cycle_1,补仓,3343.32,0.07,234.03,2.9900000000000007,9996.53,3,-2.87%,10008.40,0.01
2024-08-27,Cycle_2,补仓,3305.33,0.19,628.01,6.12,20228.64,38,-4.08%,20212.80,0.03
2024-09-02,Cycle_1,补仓,3265.01,0.09,293.85,3.0800000000000005,10056.23,20,-2.34%,10056.00,0.01
2024-09-09,Cycle_1,补仓,3192.95,0.06,191.58,3.1400000000000006,10025.87,5,-2.21%,10014.00,0.01
2024-09-09,Cycle_3,补仓,3192.95,0.93,2969.44,9.75,31131.28,135,-8.50%,31134.00,0.15
2024-09-12,Cycle_2,补仓,3172.47,0.21,666.22,6.33,20081.76,12,-4.02%,20067.20,0.03
2024-09-24,Cycle_1,减仓,3351.91,-0.13,-435.75,3.0100000000000007,10089.25,9,4.98%,10075.20,0.02
2024-09-24,Cycle_2,减仓,3351.91,-0.29,-972.05,6.04,20245.53,6,5.66%,20233.60,0.05
2024-09-26,Cycle_1,减仓,3545.32,-0.17,-602.70,2.8400000000000007,10068.71,2,5.77%,10055.60,0.03
2024-09-26,Cycle_2,减仓,3545.32,-0.34,-1205.41,5.7,20208.33,2,5.77%,20211.20,0.06
2024-09-26,Cycle_3,减仓,3545.32,-1.09,-3864.40,8.66,30702.47,11,11.04%,30692.40,0.19
2024-09-27,Cycle_1,减仓,3703.68,-0.13,-481.48,2.710000000000001,10036.99,1,4.47%,10052.80,0.02
2024-09-27,Cycle_2,减仓,3703.68,-0.24,-888.88,5.46,20222.12,1,4.47%,20205.60,0.04
2024-09-30,Cycle_1,减仓,4017.85,-0.21,-843.75,2.500000000000001,10044.64,1,8.48%,10052.80,0.04
2024-09-30,Cycle_2,减仓,4017.85,-0.43,-1727.68,5.03,20209.81,1,8.48%,20205.60,0.09
2024-09-30,Cycle_3,减仓,4017.85,-1.04,-4178.57,7.62,30616.05,2,13.33%,30616.80,0.21
2024-10-08,Cycle_1,减仓,4256.10,-0.14,-595.85,2.3600000000000008,10044.39,1,5.93%,10052.80,0.03
2024-10-08,Cycle_2,减仓,4256.10,-0.28,-1191.71,4.75,20216.46,1,5.93%,20205.60,0.06
2024-10-08,Cycle_4,减仓,4256.10,-0.46,-1957.80,11.02,46902.18,473,17.14%,46897.60,0.10
2024-10-09,Cycle_1,补仓,3955.98,0.17,672.52,2.5300000000000007,10008.64,1,-7.05%,10002.80,0.03
2024-10-09,Cycle_2,补仓,3955.98,0.31,1226.36,5.06,20017.28,1,-7.05%,20005.60,0.06
2024-10-15,Cycle_1,补仓,3855.99,0.07,269.92,2.6000000000000005,10025.59,4,-2.53%,10011.20,0.01
2024-10-17,Cycle_2,补仓,3788.22,0.23,871.29,5.29,20039.69,6,-4.24%,20033.60,0.04
2024-10-21,Cycle_1,减仓,3935.20,-0.04,-157.41,2.5600000000000005,10074.11,4,2.05%,10061.20,0.01
2024-10-22,Cycle_2,减仓,3957.78,-0.18,-712.40,5.11,20224.23,3,4.48%,20216.80,0.04
2024-11-05,Cycle_1,减仓,4044.57,-0.07,-283.12,2.4900000000000007,10070.99,11,2.78%,10080.80,0.01
2024-11-07,Cycle_1,减仓,4145.70,-0.06,-248.74,2.4300000000000006,10074.04,2,2.50%,10055.60,0.01
2024-11-07,Cycle_2,减仓,4145.70,-0.22,-912.05,4.890000000000001,20272.45,12,4.75%,20267.20,0.05
2024-11-14,Cycle_1,补仓,4039.62,0.05,201.98,2.4800000000000004,10018.26,5,-2.56%,10014.00,0.01
2024-11-15,Cycle_2,补仓,3968.83,0.16,635.01,5.050000000000001,20042.60,6,-4.27%,20033.60,0.03
2024-11-18,Cycle_1,补仓,3950.38,0.05,197.52,2.5300000000000002,9994.46,2,-2.21%,10005.60,0.01
2024-11-22,Cycle_1,补仓,3865.70,0.06,231.94,2.5900000000000003,10012.16,4,-2.14%,10011.20,0.01
2024-12-02,Cycle_1,减仓,3947.63,-0.04,-157.91,2.5500000000000003,10066.46,6,2.12%,10066.80,0.01
