日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-08-26,买入,11.24,8004,89995.06,1.34,5.96%,0.90,4.50
2015-09-15,买入,10.49,942,9880.24,1.26,1.64%,1.00,0.49
2018-01-25,卖出,18.04,-2679,29909.00,1.84,71.64%,0.70,2.42
2018-06-20,买入,13.71,2525,34612.47,1.36,9.15%,0.90,1.73
2018-06-26,买入,12.81,1067,13668.35,1.31,1.83%,1.00,0.68
2019-02-26,卖出,20.89,-2952,35405.77,1.94,77.70%,0.70,3.08
2019-03-07,卖出,21.68,-3989,47843.37,2.12,83.82%,0.30,4.32
2020-07-09,卖出,27.12,-451,5409.22,2.41,88.78%,0.30,0.61
2022-03-16,买入,18.14,959,17400.93,1.60,29.79%,0.30,0.87
2022-04-27,买入,16.55,7345,121524.43,1.41,9.69%,0.90,6.08
2022-05-05,买入,17.80,1199,21339.21,1.25,0.83%,1.00,1.07
2024-11-08,卖出,35.89,-8376,132849.75,1.98,80.94%,0.30,15.03
2025-04-08,买入,23.90,1274,30449.03,1.38,20.86%,0.30,1.52
