日期,当前价格,持仓数量,当前市值,累计投入,净投入,最大回撤
2021-01-05,5368.50,9.120000000000001,48960.76,49990.64,48004.30,2.06%
2021-01-06,5417.67,9.120000000000001,49409.13,49990.64,48004.30,2.06%
2021-01-07,5513.66,8.760000000000002,48299.63,49990.64,46019.38,3.38%
2021-01-08,5495.43,8.760000000000002,48139.97,49990.64,46019.38,3.70%
2021-01-11,5441.16,9.13,49677.78,52003.87,48032.61,3.70%
2021-01-12,5596.35,8.770000000000001,49080.01,52003.87,46017.92,3.70%
2021-01-13,5577.97,8.770000000000001,48918.81,52003.87,46017.92,3.70%
2021-01-14,5470.46,9.14,49999.97,54027.94,48041.99,3.70%
2021-01-15,5458.08,9.14,49886.86,54027.94,48041.99,3.70%
2021-01-18,5518.52,9.14,50439.28,54027.94,48041.99,3.70%
2021-01-19,5437.52,9.14,49698.96,54027.94,48041.99,3.70%
2021-01-20,5476.43,9.14,50054.60,54027.94,48041.99,3.70%
2021-01-21,5564.97,8.780000000000001,48860.43,54027.94,46038.60,3.70%
2021-01-22,5569.78,8.780000000000001,48902.63,54027.94,46038.60,3.70%
2021-01-25,5625.92,8.420000000000002,47370.27,54027.94,44013.27,6.08%
2021-01-26,5512.97,8.780000000000001,48403.86,56012.61,45997.94,6.08%
2021-01-27,5528.00,8.780000000000001,48535.87,56012.61,45997.94,6.08%
2021-01-28,5377.14,9.15,49200.86,58002.15,47987.48,6.08%
2021-01-29,5351.96,9.15,48970.48,58002.15,47987.48,6.08%
2021-02-01,5417.65,9.15,49571.48,58002.15,47987.48,6.08%
2021-02-02,5501.09,8.790000000000001,48354.59,58002.15,46007.09,6.08%
2021-02-03,5485.20,8.790000000000001,48214.92,58002.15,46007.09,6.08%
2021-02-04,5473.95,8.790000000000001,48116.00,58002.15,46007.09,6.08%
2021-02-05,5483.41,8.790000000000001,48199.21,58002.15,46007.09,6.08%
2021-02-08,5564.56,8.430000000000001,46909.26,58002.15,44003.85,7.00%
2021-02-09,5686.25,8.080000000000002,45944.90,58002.15,42013.66,8.91%
2021-02-10,5807.72,7.740000000000002,44951.75,58002.15,40039.03,10.88%
2021-02-18,5768.38,7.740000000000002,44647.27,58002.15,40039.03,11.48%
2021-02-19,5778.84,7.740000000000002,44728.24,58002.15,40039.03,11.48%
2021-02-22,5597.33,8.100000000000001,45338.39,60017.19,42054.07,11.48%
2021-02-23,5579.67,8.100000000000001,45195.31,60017.19,42054.07,11.48%
2021-02-24,5437.57,8.47,46056.20,62029.09,44065.97,11.48%
2021-02-25,5469.56,8.47,46327.16,62029.09,44065.97,11.48%
2021-02-26,5336.76,8.84,47176.97,64003.69,46040.58,11.48%
2021-03-01,5418.78,8.47,45897.10,64003.69,44035.63,11.48%
2021-03-02,5349.63,8.84,47290.73,65983.06,46014.99,11.48%
2021-03-03,5452.21,8.47,46180.24,65983.06,43997.67,11.48%
2021-03-04,5280.71,8.850000000000001,46734.25,67989.73,46004.34,11.48%
