日期,周期ID,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,距上次调仓天数,触发涨跌幅,目标金额,手续费
2023-02-01,Cycle_1,初始建仓,4195.93,2.38,9986.32,2.38,9986.32,0,0.00%,10000.00,0.50
2023-02-01,Cycle_2,初始建仓,4195.93,4.77,20014.60,4.77,20014.60,0,0.00%,20000.00,1.00
2023-02-01,Cycle_3,初始建仓,4195.93,7.15,30000.92,7.15,30000.92,0,0.00%,30000.00,1.50
2023-02-01,Cycle_4,初始建仓,4195.93,9.53,39987.24,9.53,39987.24,0,0.00%,40000.00,2.00
2023-02-06,Cycle_1,补仓,4086.88,0.07,286.08,2.4499999999999997,10012.85,3,-2.60%,10008.40,0.01
2023-03-09,Cycle_2,补仓,4019.85,0.24,964.76,5.01,20139.45,26,-4.20%,20145.60,0.05
2023-03-10,Cycle_1,补仓,3967.14,0.09,357.04,2.5399999999999996,10076.52,24,-2.93%,10067.20,0.02
2023-03-31,Cycle_1,减仓,4050.93,-0.05,-202.55,2.4899999999999998,10086.80,15,2.11%,10092.00,0.01
2023-04-17,Cycle_1,减仓,4149.38,-0.06,-248.96,2.4299999999999997,10083.00,10,2.43%,10078.00,0.01
2023-04-21,Cycle_1,补仓,4032.57,0.05,201.63,2.4799999999999995,10000.77,4,-2.82%,10011.20,0.01
2023-05-12,Cycle_1,补仓,3937.76,0.07,275.64,2.5499999999999994,10041.29,12,-2.35%,10033.60,0.01
2023-05-24,Cycle_3,补仓,3859.09,0.79,3048.68,7.94,30641.20,76,-8.03%,30638.40,0.15
2023-05-25,Cycle_1,补仓,3850.50,0.05,192.52,2.599999999999999,10011.30,9,-2.22%,10025.20,0.01
2023-05-25,Cycle_2,补仓,3850.50,0.26,1001.13,5.27,20292.13,51,-4.21%,20285.60,0.05
2023-06-16,Cycle_1,减仓,3963.35,-0.05,-198.17,2.5499999999999994,10106.54,16,2.93%,10094.80,0.01
2023-06-21,Cycle_1,补仓,3864.03,0.04,154.56,2.5899999999999994,10007.84,3,-2.51%,10008.40,0.01
2023-07-28,Cycle_1,减仓,3992.74,-0.06,-239.56,2.5299999999999994,10101.63,25,3.33%,10120.00,0.01
2023-07-31,Cycle_2,减仓,4014.63,-0.18,-722.63,5.09,20434.47,45,4.26%,20452.00,0.04
2023-08-11,Cycle_1,补仓,3884.25,0.05,194.21,2.579999999999999,10021.37,10,-2.72%,10028.00,0.01
2023-08-15,Cycle_2,补仓,3846.54,0.13,500.05,5.22,20078.92,11,-4.19%,20061.60,0.03
2023-08-18,Cycle_1,补仓,3784.00,0.07,264.88,2.649999999999999,10027.61,5,-2.58%,10014.00,0.01
2023-08-23,Cycle_1,补仓,3696.63,0.06,221.80,2.709999999999999,10017.88,3,-2.31%,10008.40,0.01
2023-08-29,Cycle_1,减仓,3790.11,-0.06,-227.41,2.649999999999999,10043.78,4,2.53%,10061.20,0.01
2023-09-15,Cycle_1,补仓,3708.78,0.06,222.53,2.709999999999999,10050.78,13,-2.15%,10036.40,0.01
2023-09-21,Cycle_2,补仓,3672.44,0.27,991.56,5.49,20161.72,27,-4.53%,20151.20,0.05
2023-10-16,Cycle_1,补仓,3626.60,0.06,217.60,2.769999999999999,10045.67,15,-2.22%,10042.00,0.01
2023-10-19,Cycle_1,补仓,3533.54,0.06,212.01,2.829999999999999,9999.93,3,-2.57%,10008.40,0.01
2023-10-19,Cycle_3,补仓,3533.54,0.78,2756.16,8.72,30812.51,98,-8.44%,30823.20,0.14
2023-10-20,Cycle_2,补仓,3510.59,0.23,807.44,5.720000000000001,20080.57,15,-4.41%,20084.00,0.04
2023-10-20,Cycle_4,补仓,3510.59,2.42,8495.63,11.95,41951.54,175,-16.33%,41960.00,0.42
2023-11-06,Cycle_1,减仓,3632.61,-0.05,-181.63,2.7799999999999994,10098.65,12,2.80%,10083.60,0.01
2023-11-22,Cycle_1,补仓,3544.42,0.05,177.22,2.829999999999999,10030.70,12,-2.43%,10033.60,0.01
2023-12-04,Cycle_1,补仓,3460.14,0.07,242.21,2.899999999999999,10034.40,8,-2.38%,10022.40,0.01
2023-12-13,Cycle_1,补仓,3369.61,0.07,235.87,2.969999999999999,10007.73,7,-2.62%,10019.60,0.01
2023-12-13,Cycle_2,补仓,3369.61,0.28,943.49,6.000000000000001,20217.63,38,-4.02%,20212.80,0.05
2023-12-20,Cycle_1,补仓,3297.50,0.07,230.83,3.0399999999999987,10024.41,5,-2.14%,10014.00,0.01
2023-12-28,Cycle_1,减仓,3414.54,-0.09,-307.31,2.949999999999999,10072.89,6,3.55%,10066.80,0.02
2024-01-05,Cycle_1,补仓,3329.11,0.06,199.75,3.009999999999999,10020.63,5,-2.50%,10014.00,0.01
2024-01-17,Cycle_1,补仓,3229.08,0.09,290.62,3.0999999999999988,10010.15,8,-3.00%,10022.40,0.01
2024-01-17,Cycle_2,补仓,3229.08,0.24,774.98,6.240000000000001,20149.47,24,-4.17%,20134.40,0.04
2024-01-17,Cycle_3,补仓,3229.08,0.73,2357.23,9.450000000000001,30514.82,63,-8.62%,30529.20,0.12
2024-01-25,Cycle_1,减仓,3342.92,-0.09,-300.86,3.009999999999999,10062.19,6,3.53%,10066.80,0.02
2024-01-30,Cycle_1,补仓,3245.04,0.07,227.15,3.0799999999999987,9994.72,3,-2.93%,10008.40,0.01
