fund_id,fund_nm,qtype,issuer_nm,urls,asset_ratio,lof_type,t0,eval_show,price,pre_close,price_dt,increase_rt,volume,stock_volume,last_time,amount,amount_incr,amount_increase_rt,fund_nav,nav_dt,estimate_value,discount_rt,last_est_dt,last_est_time,ref_increase_rt,est_val_dt,est_val_increase_rt,index_id,index_nm,apply_fee,apply_status,apply_fee_tips,redeem_fee,redeem_status,redeem_fee_tips,m_fee,t_fee,min_amt,money_cd,notes,estimate_value2,discount_rt2,est_val_dt2,est_val_increase_rt2,ref_price,ref_increase_rt2,cal_tips,owned,holded,mt_fee,mt_fee_tips,cal_index_id,est_val_tm2,ref_price2,apply_redeem_status,amount_incr_tips,turnover_rt,last_est_datetime,fund_nm_color,est_val_dt_s,nav_dt_s
159612,标普500ETF,E,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/159612,100.000,QDII,Y,Y,1.880,1.8900,2025-12-30,-0.53%,2122.86,1129.0953,15:14:45,44490,0,0.00,1.8081,2025-12-26,1.8010,,2025-12-30,15:14:45,-0.35%,2025-12-29,-0.39%,Y,标普500,0.50%,暂停申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.60,0.15,,USD,,buy,buy,buy,buy,6905.74,buy,指数从 2025-12-26 6929.94  到 2025-12-29 6905.74；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.75,"管理费：0.60%
托管费：0.15%",SPX.GI,buy,buy,-,最新份额：44490万份；增长：0.00%,2.54%,2025-12-30 15:14:45,标普500ETF,25-12-29,25-12-26
159577,美国50ETF,E,汇添富,https://www.99fund.com/main/products/pofund/159577/fundgk.shtml,100.000,QDII,Y,Y,1.520,1.5180,2025-12-30,0.13%,2425.69,1604.7200,15:14:27,49567,0,0.00,1.4654,2025-12-26,1.4585,,2025-12-30,15:14:27,-0.43%,2025-12-29,-0.47%,Y,美国50,-,开放申购,-,-,开放赎回,-,0.50,0.15,,USD,,-,-,-,-,4553.84,-,指数从 2025-12-26 4573.42  到 2025-12-29 4553.84；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.65,"管理费：0.50%
托管费：0.15%",750108.MI,-,-,-,最新份额：49567万份；增长：0.00%,3.24%,2025-12-30 15:14:27,美国50ETF,25-12-29,25-12-26
513300,纳斯达克ETF,E,华夏基金,http://www.chinaamc.com/fund/513300/index.shtml,100.000,QDII,Y,Y,2.325,2.3250,2025-12-30,0.00%,26049.60,11254.7777,15:00:00,510667,75,0.01,2.2430,2025-12-26,2.2318,,2025-12-30,15:00:00,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,0.50%,开放申购,不超过0.50%,0.50%,开放赎回,不超过0.50%,0.60,0.20,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.80,"管理费：0.60%
托管费：0.20%",NDX.GI,buy,buy,-,最新份额：510667万份；增长：0.01%,2.20%,2025-12-30 15:00:00,纳斯达克ETF,25-12-29,25-12-26
159513,纳斯达克100指数ETF,E,大成基金,https://www.dcfund.com.cn/main/fund/productdetail/index.shtml?product_code=159513,100.000,QDII,Y,Y,1.563,1.5650,2025-12-30,-0.13%,5989.81,3851.2900,15:14:45,401855,0,0.00,1.5109,2025-12-26,1.5033,,2025-12-30,15:14:45,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,开放申购,-,-,开放赎回,-,0.80,0.20,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,1.00,"管理费：0.80%
托管费：0.20%",NDX.GI,buy,buy,-,最新份额：401855万份；增长：0.00%,0.96%,2025-12-30 15:14:45,纳斯达克100指数ETF,25-12-29,25-12-26
159502,标普生物科技ETF,E,嘉实基金,https://www.jsfund.cn/main/fund/159502/fundRecord.shtml,100.000,QDII,Y,Y,1.337,1.3300,2025-12-30,0.53%,29734.85,22534.8990,15:14:48,174032,100,0.06,1.3020,2025-12-26,1.2859,,2025-12-30,15:14:48,-1.20%,2025-12-29,-1.24%,Y,标普生物科技精选行业指数,0.50%,开放申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.50,0.10,,USD,,-,-,-,-,9645.92,-,指数从 2025-12-26 9762.77  到 2025-12-29 9645.92；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.60,"管理费：0.50%
托管费：0.10%",SPSIBI.SPI,-,-,-,最新份额：174032万份；增长：0.06%,12.95%,2025-12-30 15:14:48,标普生物科技ETF,25-12-29,25-12-26
161128,标普信息科技LOF,E,易方达,https://www.efunds.com.cn/fund/161128.shtml,95.000,QDII,Y,Y,6.083,6.0740,2025-12-30,0.15%,3826.76,633.2769,15:14:12,46478,8,0.02,5.8876,2025-12-26,5.8602,,2025-12-30,15:14:12,-0.45%,2025-12-29,-0.47%,Y,标普500信息科技指数,1.20%,限10,"M＜100万	1.20%
100万≤M＜200万	0.80%
200万≤M＜500万	0.50%
M≥500万	按笔收取，1000.00元/笔",1.50%,开放赎回,"0-6日	1.50%
7日及以上	0.50%",0.80,0.20,,USD,,-,-,-,-,5747.78,-,指数从 2025-12-26 5773.51  到 2025-12-29 5747.78；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,1.00,"管理费：0.80%
托管费：0.20%",S5INFT.SPI,-,-,-,最新份额：46478万份；增长：0.02%,1.36%,2025-12-30 15:14:12,标普信息科技LOF,25-12-29,25-12-26
513870,纳指ETF富国,E,富国基金,https://www.fullgoal.com.cn/fundDetail/513870/index.html,100.000,QDII,Y,Y,1.771,1.7720,2025-12-30,-0.06%,10330.19,5865.0296,15:00:00,119767,0,0.00,1.7149,2025-12-26,1.7063,,2025-12-30,15:00:00,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,暂停申购,-,-,开放赎回,-,0.50,0.10,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.60,"管理费：0.50%
托管费：0.10%",NDX.GI,buy,buy,-,最新份额：119767万份；增长：0.00%,4.90%,2025-12-30 15:00:00,纳指ETF富国,25-12-29,25-12-26
159632,纳斯达克ETF,E,华安基金,https://www.huaan.com.cn/funds/159632/index.shtml,100.000,QDII,Y,Y,2.112,2.1120,2025-12-30,0.00%,13039.75,6204.6200,15:14:45,485672,100,0.02,2.0465,2025-12-26,2.0363,,2025-12-30,15:14:45,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,开放申购,-,-,开放赎回,-,0.60,0.20,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.80,"管理费：0.60%
托管费：0.20%",NDX.GI,buy,buy,-,最新份额：485672万份；增长：0.02%,1.28%,2025-12-30 15:14:45,纳斯达克ETF,25-12-29,25-12-26
513110,纳斯达克100ETF,E,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/513110/index.html,100.000,QDII,Y,Y,2.141,2.1430,2025-12-30,-0.09%,15818.23,7423.5322,14:59:57,203344,300,0.15,2.0748,2025-12-26,2.0644,,2025-12-30,14:59:57,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,0.50%,开放申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.80,0.20,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,1.00,"管理费：0.80%
托管费：0.20%",NDX.GI,buy,buy,-,最新份额：203344万份；增长：0.15%,3.65%,2025-12-30 14:59:57,纳斯达克100ETF,25-12-29,25-12-26
513850,美国50ETF,E,易方达,https://www.efunds.com.cn/fund/513850.shtml,100.000,QDII,Y,Y,1.684,1.6890,2025-12-30,-0.30%,5533.44,3299.3181,14:59:57,108689,100,0.09,1.6331,2025-12-26,1.6254,,2025-12-30,14:59:57,-0.43%,2025-12-29,-0.47%,Y,美国50,-,开放申购,-,-,开放赎回,-,0.50,0.10,,USD,,-,-,-,-,4553.84,-,指数从 2025-12-26 4573.42  到 2025-12-29 4553.84；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.60,"管理费：0.50%
托管费：0.10%",750108.MI,-,-,-,最新份额：108689万份；增长：0.09%,3.04%,2025-12-30 14:59:57,美国50ETF,25-12-29,25-12-26
