操作日期,操作类型,成交价格,成交数量,成交后持仓,持仓金额,成交后现金,总金额,手续费
2024-12-02,买入,3909.70,24.255836056284977,24.255836056284977,94833.11,5162.15,100915.26,4.74
2024-12-17,卖出,3908.13,-24.255836056284977,0.0,0.00,99952.28,99952.28,4.74
2024-12-25,买入,3987.96,23.835867226561273,23.835867226561273,95056.38,4891.14,99892.07,4.75
2025-01-02,卖出,3931.82,-23.835867226561273,0.0,0.00,98604.69,98604.69,4.69
2025-01-15,买入,3810.04,24.5186454367001,24.5186454367001,93416.90,5183.11,98256.53,4.67
2025-02-21,卖出,3938.05,-24.5186454367001,0.0,0.00,101733.98,101733.98,4.83
2025-02-24,买入,3972.48,24.292733866244593,24.292733866244593,96502.47,5226.68,101661.96,4.83
2025-02-26,卖出,3931.84,-24.292733866244593,0.0,0.00,100737.10,100737.10,4.78
2025-03-10,买入,3945.58,24.264679060521036,24.264679060521036,95738.22,4994.09,100325.20,4.79
2025-03-13,卖出,3925.74,-24.264679060521036,0.0,0.00,100246.24,100246.24,4.76
2025-03-17,买入,4020.64,23.769520018540454,23.769520018540454,95568.69,4672.78,99674.50,4.78
2025-03-24,卖出,3916.11,-23.769520018540454,0.0,0.00,97752.26,97752.26,4.65
2025-04-14,买入,3772.04,24.760494712931198,24.760494712931198,93397.59,4350.00,97428.22,4.67
2025-05-20,卖出,3883.10,-24.760494712931198,0.0,0.00,100492.73,100492.73,4.81
2025-06-06,买入,3878.10,24.62068850005154,24.62068850005154,95481.56,5006.39,100386.55,4.77
2025-06-16,卖出,3853.62,-24.62068850005154,0.0,0.00,99880.41,99880.41,4.74
2025-06-25,买入,3907.07,24.30470272508602,24.30470272508602,94960.13,4915.53,101163.76,4.75
2025-07-16,卖出,4019.39,-24.30470272508602,0.0,0.00,102600.79,102600.79,4.88
2025-07-21,买入,4069.77,24.016158893843446,24.016158893843446,97740.21,4855.69,102976.29,4.89
2025-07-31,卖出,4141.56,-24.016158893843446,0.0,0.00,104315.11,104315.11,4.97
2025-08-13,买入,4150.50,23.91494614290916,23.91494614290916,99259.07,5051.08,104933.71,4.96
2025-09-03,卖出,4501.34,-23.91494614290916,0.0,0.00,112694.97,112694.97,5.38
2025-09-15,买入,4534.89,23.675424167058935,23.675424167058935,107365.36,5324.24,112646.25,5.37
2025-09-17,卖出,4517.29,-23.675424167058935,0.0,0.00,112267.54,112267.54,5.35
2025-09-18,买入,4546.03,23.4352063226292,23.4352063226292,106537.20,5725.02,111139.13,5.33
2025-09-19,卖出,4499.09,-23.4352063226292,0.0,0.00,111156.86,111156.86,5.27
2025-09-26,买入,4576.91,22.988855223005626,22.988855223005626,105218.02,5933.58,110533.99,5.26
2025-09-29,卖出,4555.03,-22.988855223005626,0.0,0.00,110643.37,110643.37,5.24
2025-09-30,买入,4629.90,22.751082182899786,22.751082182899786,105335.21,5302.90,110883.70,5.27
2025-10-14,卖出,4634.05,-22.751082182899786,0.0,0.00,110727.38,110727.38,5.27
2025-10-24,买入,4622.79,22.836112717310886,22.836112717310886,105566.49,5155.61,111587.50,5.28
