日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2020-02-04,买入,3652.00,18,65736.00,11.29,11.06%,0.70,3.29
2020-03-19,买入,3623.79,9,32614.11,10.66,7.84%,1.00,1.63
2020-07-06,卖出,4465.81,-13,47353.76,14.00,76.03%,0.50,2.90
2020-07-07,卖出,4739.61,-14,50996.35,14.05,86.99%,0.00,3.32
2022-03-09,买入,4280.98,8,34247.84,11.71,26.94%,0.30,1.71
2022-03-15,买入,4125.49,12,49505.88,10.98,17.90%,0.70,2.48
2022-03-16,买入,4053.10,10,40531.00,11.38,7.51%,1.00,2.03
2024-10-09,卖出,4168.84,-14,57999.54,12.38,74.50%,0.50,2.92
2025-04-08,买入,3597.99,6,21587.94,11.29,18.54%,0.70,1.08
2025-08-21,卖出,4284.37,-6,23965.40,12.89,70.03%,0.50,1.29
