日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2020-01-03,买入,4161.22,14,58257.08,12.44,54.23%,0.60,2.91
2020-02-03,买入,3639.91,5,18199.55,11.04,36.15%,0.80,0.91
2020-02-04,买入,3652.00,3,10956.00,11.29,11.06%,0.90,0.55
2020-02-07,卖出,3879.55,-1,3973.30,11.57,24.76%,0.80,0.19
2020-02-21,卖出,4134.87,-6,23839.81,12.24,44.29%,0.60,1.24
2020-02-26,买入,4070.10,5,20350.50,11.98,39.68%,0.80,1.02
2020-03-06,卖出,4158.20,-5,19987.51,12.07,46.59%,0.60,1.04
2020-03-09,买入,4063.08,5,20315.40,11.70,39.60%,0.80,1.02
2020-03-16,买入,3899.86,2,7799.72,11.07,19.29%,0.90,0.39
2020-03-17,买入,3739.78,1,3739.78,11.02,11.67%,0.90,0.19
2020-03-19,买入,3623.79,2,7247.58,10.66,7.78%,1.00,0.36
2020-03-26,卖出,3692.61,-1,3962.60,10.94,11.11%,0.90,0.18
2020-03-27,买入,3746.39,1,3746.39,10.96,9.37%,1.00,0.19
2020-04-03,卖出,3721.48,-1,3953.95,10.92,10.16%,0.90,0.19
2020-04-07,买入,3779.91,1,3779.91,11.13,9.37%,1.00,0.19
2020-04-08,卖出,3776.42,-1,3946.99,11.07,13.65%,0.90,0.19
2020-04-30,卖出,3880.41,-3,11840.97,11.77,20.56%,0.80,0.58
2020-06-08,卖出,4023.61,-5,19734.95,12.00,40.24%,0.60,1.01
2020-06-12,买入,3931.62,4,15726.48,11.93,39.21%,0.80,0.79
2020-06-17,卖出,4018.61,-4,15775.66,12.07,44.68%,0.60,0.80
2020-07-02,卖出,4239.41,-5,19719.58,12.90,63.89%,0.40,1.06
2020-07-03,卖出,4353.19,-1,3943.92,13.19,69.52%,0.40,0.22
2020-07-07,卖出,4739.61,-5,19719.58,14.05,88.25%,0.20,1.18
2020-07-09,卖出,4770.08,-2,7887.83,14.41,92.30%,0.10,0.48
2020-07-13,买入,4742.37,1,4742.37,14.28,89.21%,0.20,0.24
2020-07-14,卖出,4836.17,-1,4143.53,14.15,92.62%,0.10,0.24
2020-07-16,买入,4741.53,1,4741.53,13.34,87.22%,0.20,0.24
2020-07-17,买入,4524.77,5,22623.85,13.39,78.65%,0.40,1.13
2020-07-21,卖出,4697.50,-4,17687.10,13.78,82.70%,0.20,0.94
2020-07-27,买入,4535.01,4,18140.04,13.29,77.78%,0.40,0.91
2020-07-30,卖出,4689.76,-4,17888.40,13.58,81.43%,0.20,0.94
2020-08-18,卖出,4816.57,-2,8944.20,14.14,92.54%,0.10,0.48
2020-08-20,买入,4708.13,1,4708.13,13.76,88.97%,0.20,0.24
2020-09-01,卖出,4803.39,-1,4531.11,14.52,96.43%,0.10,0.24
2020-09-10,买入,4632.10,1,4632.10,13.86,87.30%,0.20,0.23
2020-09-14,卖出,4652.05,-1,4556.36,14.02,90.32%,0.10,0.23
2020-09-25,买入,4582.48,1,4582.48,13.82,85.08%,0.20,0.23
2020-10-12,卖出,4705.19,-1,4562.89,14.50,93.41%,0.10,0.24
2020-11-02,买入,4702.75,1,4702.75,13.96,88.33%,0.20,0.24
2020-11-04,卖出,4781.45,-1,4597.85,14.20,93.49%,0.10,0.24
2021-04-13,买入,4949.81,1,4949.81,14.32,88.33%,0.20,0.25
2021-04-20,卖出,5065.78,-1,4685.84,14.57,91.35%,0.10,0.25
2021-04-23,买入,5088.83,1,5088.83,14.56,89.92%,0.20,0.25
2021-04-26,卖出,5156.59,-1,4786.59,14.36,90.63%,0.10,0.26
2021-04-27,买入,5076.64,1,5076.64,14.31,87.86%,0.20,0.25
2021-05-06,买入,5098.80,4,20395.20,13.41,70.87%,0.40,1.02
2021-05-07,买入,5073.46,1,5073.46,13.29,70.32%,0.40,0.25
2021-05-26,卖出,5326.12,-4,19957.81,14.09,82.78%,0.20,1.07
2021-06-04,买入,5228.28,3,15684.84,13.99,78.57%,0.40,0.78
2021-06-07,卖出,5284.89,-3,15237.04,13.99,80.16%,0.20,0.79
2021-06-09,买入,5224.95,3,15674.85,13.92,77.54%,0.40,0.78
2021-06-16,卖出,5163.25,-3,15401.22,14.04,86.03%,0.20,0.77
2021-07-05,买入,5073.78,4,20295.12,14.01,78.73%,0.40,1.01
2021-07-08,卖出,5149.31,-4,20428.36,13.95,82.78%,0.20,1.03
2021-07-09,买入,5063.15,4,20252.60,13.89,77.78%,0.40,1.01
2021-08-23,买入,4777.73,5,23888.65,13.14,58.97%,0.60,1.19
2021-08-24,卖出,4844.59,-4,19907.63,13.25,61.51%,0.40,0.97
2021-08-27,买入,4794.97,4,19179.88,12.96,59.13%,0.60,0.96
2021-11-03,买入,4835.81,4,19343.24,12.24,38.25%,0.80,0.97
2021-11-12,卖出,4902.93,-3,14715.37,12.35,41.19%,0.60,0.74
2021-11-15,买入,4894.41,3,14683.23,12.33,39.84%,0.80,0.73
