日期,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,相对上次涨跌幅,手续费
2021-01-04,初始建仓,5267.72,9.49,49990.64,9.49,49990.64,0.00%,2.50
2021-01-12,网格卖出,5596.35,-1.79,-10017.47,7.7,43091.91,6.24%,0.50
2021-03-04,网格买入,5280.71,1.89,9980.53,9.59,50641.97,-5.64%,0.50
2021-03-09,网格买入,4971.00,2.01,9991.71,11.6,57663.59,-5.86%,0.50
2021-05-25,网格卖出,5318.48,-1.88,-9998.74,9.719999999999999,51695.61,6.99%,0.50
2021-07-26,网格买入,4925.30,2.03,9998.36,11.749999999999998,57872.26,-7.39%,0.50
2022-01-25,网格买入,4678.45,2.14,10011.89,13.889999999999999,64983.69,-5.01%,0.50
2022-03-07,网格买入,4352.78,2.3,10011.39,16.189999999999998,70471.47,-6.96%,0.50
2022-03-15,网格买入,3983.81,2.51,9999.37,18.699999999999996,74497.28,-8.48%,0.50
2022-03-17,网格卖出,4237.70,-2.36,-10000.96,16.339999999999996,69243.95,6.37%,0.50
2022-04-21,网格买入,3995.83,2.5,9989.58,18.839999999999996,75281.44,-5.71%,0.50
2022-04-26,网格买入,3784.12,2.64,9990.08,21.479999999999997,81282.89,-5.30%,0.50
2022-04-29,网格卖出,4016.24,-2.49,-10000.44,18.989999999999995,76268.42,6.13%,0.50
2022-06-08,网格卖出,4219.81,-2.37,-10000.95,16.619999999999994,70133.28,5.07%,0.50
2022-06-27,网格卖出,4444.26,-2.25,-9999.59,14.369999999999994,63864.07,5.32%,0.50
2022-07-25,网格买入,4212.64,2.37,9983.97,16.739999999999995,70519.66,-5.21%,0.50
2022-09-16,网格买入,3932.68,2.54,9989.01,19.279999999999994,75822.12,-6.65%,0.50
2022-10-10,网格买入,3720.94,2.69,10009.32,21.969999999999995,81748.97,-5.38%,0.50
2022-10-31,网格买入,3508.70,2.85,9999.80,24.819999999999997,87086.02,-5.70%,0.50
2022-11-04,网格卖出,3767.17,-2.65,-9983.01,22.169999999999998,83518.26,7.37%,0.50
2022-12-06,网格卖出,3968.20,-2.52,-9999.86,19.65,77975.09,5.34%,0.50
2023-01-20,网格卖出,4181.53,-2.39,-9993.85,17.259999999999998,72173.15,5.38%,0.50
2023-03-10,网格买入,3967.14,2.52,9997.18,19.779999999999998,78469.93,-5.13%,0.50
2023-08-21,网格买入,3729.55,2.68,9995.21,22.459999999999997,83765.81,-5.99%,0.50
2023-10-19,网格买入,3533.54,2.83,9999.93,25.29,89363.34,-5.26%,0.50
2023-12-14,网格买入,3351.96,2.98,9988.85,28.27,94760.02,-5.14%,0.50
2024-02-02,网格买入,3179.63,3.15,10015.83,31.419999999999998,99903.90,-5.14%,0.50
2024-02-07,网格卖出,3343.63,-2.99,-9997.45,28.43,95059.41,5.16%,0.50
2024-02-29,网格卖出,3516.08,-2.84,-9985.67,25.59,89976.55,5.16%,0.50
2024-08-09,网格买入,3331.63,3.0,9994.88,28.59,95251.23,-5.25%,0.50
2024-09-26,网格卖出,3545.32,-2.82,-9997.80,25.77,91362.91,6.41%,0.50
2024-09-30,网格卖出,4017.85,-2.49,-10004.46,23.28,93535.65,13.33%,0.50
2024-10-08,网格卖出,4256.10,-2.35,-10001.83,20.93,89080.09,5.93%,0.50
2024-10-09,网格买入,3955.98,2.53,10008.64,23.46,92807.38,-7.05%,0.50
2025-01-10,网格买入,3732.48,2.68,10003.05,26.14,97567.04,-5.65%,0.50
2025-02-12,网格卖出,3919.86,-2.55,-9995.65,23.59,92469.54,5.02%,0.50
2025-04-07,网格买入,3589.44,2.79,10014.54,26.38,94689.44,-8.43%,0.50
2025-04-16,网格卖出,3772.82,-2.65,-9997.97,23.73,89529.03,5.11%,0.50
2025-07-03,网格卖出,3968.07,-2.52,-9999.53,21.21,84162.71,5.18%,0.50
2025-08-13,网格卖出,4176.58,-2.39,-9982.02,18.82,78603.19,5.25%,0.50
2025-08-25,网格卖出,4469.22,-2.24,-10011.06,16.58,74099.70,7.01%,0.50
2025-10-09,网格卖出,4709.48,-2.12,-9984.10,14.459999999999997,68099.11,5.38%,0.50
2025-11-21,网格买入,4453.61,2.25,10020.62,16.709999999999997,74419.78,-5.43%,0.50
