日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-11-06,买入,26.32,741,19502.24,10.91,25.00%,0.20,0.00
2015-11-09,买入,25.14,1181,29690.77,10.41,20.00%,0.50,0.00
2015-11-10,买入,24.24,2054,49787.30,10.62,0.00%,1.00,0.00
2016-03-08,卖出,23.23,-1966,45673.58,9.60,76.47%,0.50,0.00
2016-04-19,买入,23.31,1222,28479.53,8.07,2.63%,0.80,0.00
2016-04-22,买入,21.50,838,18015.92,6.72,0.00%,1.00,0.00
2019-03-07,卖出,28.17,-2031,57213.79,6.02,75.37%,0.50,0.00
2020-04-27,买入,22.94,1611,36964.25,3.46,7.13%,0.80,0.00
2020-05-19,买入,21.23,43,912.82,3.20,1.99%,0.80,0.00
2020-05-20,买入,20.72,941,19499.69,3.17,0.45%,1.00,0.00
2022-07-05,卖出,22.81,-2316,52833.25,5.64,76.72%,0.50,0.00
2023-05-26,买入,16.44,455,7478.35,3.22,19.99%,0.50,0.00
2024-09-11,买入,15.73,45,707.95,3.22,19.75%,0.50,0.00
2025-01-03,买入,15.75,10,157.48,2.78,11.12%,0.50,0.00
2025-05-12,买入,16.31,1616,26358.55,2.62,9.95%,0.80,0.00
