日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,目标仓位
2020-01-02,4152.24,12.45,0.5423,0.00,100000.00,100000.00,0.0000,0.50
2020-01-03,4144.96,12.44,0.5362,49739.52,50062.86,99802.38,0.4984,0.50
2020-01-06,4129.30,12.40,0.5197,49551.60,50062.86,99614.46,0.4974,0.50
2020-01-07,4160.23,12.47,0.5466,49922.76,50062.86,99985.62,0.4993,0.50
2020-01-08,4112.32,12.32,0.4908,49347.84,50062.86,99410.70,0.4964,0.50
2020-01-09,4164.37,12.42,0.5257,49972.44,50062.86,100035.30,0.4995,0.50
2020-01-10,4163.18,12.43,0.5309,49958.16,50062.86,100021.02,0.4995,0.50
2020-01-13,4203.99,12.53,0.5625,50447.88,50062.86,100510.74,0.5019,0.50
2020-01-14,4189.89,12.49,0.5532,50278.68,50062.86,100341.54,0.5011,0.50
2020-01-15,4166.73,12.42,0.5240,50000.76,50062.86,100063.62,0.4997,0.50
2020-01-16,4149.04,12.34,0.4972,49788.48,50062.86,99851.34,0.4986,0.50
2020-01-17,4154.85,12.35,0.5000,49858.20,50062.86,99921.06,0.4990,0.50
2020-01-20,4185.83,12.42,0.5243,50229.96,50062.86,100292.82,0.5008,0.50
2020-01-21,4114.31,12.23,0.4537,49371.72,50062.86,99434.58,0.4965,0.50
2020-01-22,4131.93,12.28,0.4733,49583.16,50062.86,99646.02,0.4976,0.50
2020-01-23,4003.90,11.96,0.3615,48046.80,50062.86,98109.66,0.4897,0.70
2020-02-03,3688.36,11.04,0.1106,62702.12,31862.40,94564.52,0.6631,1.00
2020-02-04,3785.64,11.29,0.1534,94641.00,2644.94,97285.94,0.9728,1.00
2020-02-05,3828.53,11.40,0.1875,95713.25,2644.94,98358.19,0.9731,1.00
2020-02-06,3899.78,11.58,0.2476,97494.50,2644.94,100139.44,0.9736,0.70
2020-02-07,3899.87,11.57,0.2460,70197.66,29800.43,99998.09,0.7020,0.70
2020-02-10,3916.01,11.61,0.2627,70488.18,29800.43,100288.61,0.7029,0.70
2020-02-11,3952.46,11.71,0.2968,71144.28,29800.43,100944.71,0.7048,0.70
2020-02-12,3984.43,11.78,0.3135,71719.74,29800.43,101520.17,0.7065,0.70
2020-02-13,3959.92,11.71,0.2952,71278.56,29800.43,101078.99,0.7052,0.70
2020-02-14,3987.73,11.78,0.3127,71779.14,29800.43,101579.57,0.7066,0.70
2020-02-17,4077.42,12.03,0.3849,73393.56,29800.43,103193.99,0.7112,0.70
2020-02-18,4057.51,11.96,0.3619,73035.18,29800.43,102835.61,0.7102,0.70
2020-02-19,4051.31,11.96,0.3611,72923.58,29800.43,102724.01,0.7099,0.70
2020-02-20,4144.66,12.19,0.4429,74603.88,29800.43,104404.31,0.7146,0.50
2020-02-21,4149.49,12.24,0.4611,53943.37,50473.75,104417.12,0.5166,0.50
2020-02-24,4132.84,12.17,0.4373,53726.92,50473.75,104200.67,0.5156,0.50
2020-02-25,4123.85,12.08,0.3968,53610.05,50473.75,104083.80,0.5151,0.70
2020-02-26,4073.02,11.98,0.3675,69241.34,34192.54,103433.88,0.6694,0.70
2020-02-27,4084.88,11.98,0.3667,69442.96,34192.54,103635.50,0.6701,0.70
2020-02-28,3940.05,11.57,0.2381,66980.85,34192.54,101173.39,0.6620,0.70
2020-03-02,4069.67,11.88,0.3381,69184.39,34192.54,103376.93,0.6692,0.70
2020-03-03,4091.36,11.94,0.3532,69553.12,34192.54,103745.66,0.6704,0.70
2020-03-04,4115.05,12.00,0.3730,69955.85,34192.54,104148.39,0.6717,0.70
2020-03-05,4206.73,12.25,0.4659,71514.41,34192.54,105706.95,0.6765,0.50
2020-03-06,4138.51,12.07,0.3960,53800.63,50824.51,104625.14,0.5142,0.70
2020-03-09,3997.13,11.70,0.2849,67951.21,34571.37,102522.58,0.6628,0.70
2020-03-10,4082.73,11.91,0.3452,69406.41,34571.37,103977.78,0.6675,0.70
2020-03-11,4028.43,11.78,0.3095,68483.31,34571.37,103054.68,0.6645,0.70
2020-03-12,3950.91,11.59,0.2468,67165.47,34571.37,101736.84,0.6602,0.70
2020-03-13,3895.31,11.44,0.1929,70115.58,30800.17,100915.75,0.6948,1.00
2020-03-16,3727.84,11.07,0.1167,93196.00,3499.79,96695.79,0.9638,1.00
2020-03-17,3709.68,11.02,0.1024,92742.00,3499.79,96241.79,0.9636,1.00
2020-03-18,3636.26,10.82,0.0778,90906.50,3499.79,94406.29,0.9629,1.00
2020-03-19,3589.09,10.66,0.0563,89727.25,3499.79,93227.04,0.9625,1.00
2020-03-20,3653.22,10.84,0.0841,91330.50,3499.79,94830.29,0.9631,1.00
2020-03-23,3530.31,10.50,0.0373,88257.75,3499.79,91757.54,0.9619,1.00
2020-03-24,3625.11,10.78,0.0722,90627.75,3499.79,94127.54,0.9628,1.00
2020-03-25,3722.52,11.04,0.1111,93063.00,3499.79,96562.79,0.9638,1.00
2020-03-26,3698.05,10.94,0.0937,92451.25,3499.79,95951.04,0.9635,1.00
2020-03-27,3710.06,10.96,0.0952,92751.50,3499.79,96251.29,0.9636,1.00
2020-03-30,3674.11,10.88,0.0889,91852.75,3499.79,95352.54,0.9633,1.00
2020-03-31,3686.16,10.85,0.0865,92154.00,3499.79,95653.79,0.9634,1.00
2020-04-01,3675.08,10.81,0.0778,91877.00,3499.79,95376.79,0.9633,1.00
2020-04-02,3734.53,10.98,0.1016,93363.25,3499.79,96863.04,0.9639,1.00
2020-04-03,3713.22,10.92,0.0937,92830.50,3499.79,96330.29,0.9637,1.00
2020-04-07,3798.02,11.13,0.1365,94950.50,3499.79,98450.29,0.9645,1.00
2020-04-08,3780.34,11.07,0.1278,94508.50,3499.79,98008.29,0.9643,1.00
2020-04-09,3792.81,11.10,0.1333,94820.25,3499.79,98320.04,0.9644,1.00
2020-04-10,3769.18,11.03,0.1135,94229.50,3499.79,97729.29,0.9642,1.00
2020-04-13,3753.26,10.99,0.1071,93831.50,3499.79,97331.29,0.9640,1.00
2020-04-14,3825.70,11.17,0.1437,95642.50,3499.79,99142.29,0.9647,1.00
2020-04-15,3797.36,11.10,0.1349,94934.00,3499.79,98433.79,0.9644,1.00
2020-04-16,3802.38,11.11,0.1373,95059.50,3499.79,98559.29,0.9645,1.00
2020-04-17,3839.49,11.20,0.1508,95987.25,3499.79,99487.04,0.9648,1.00
