日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-01-06,买入,145.03,272,39446.91,15.31,37.93%,0.40,0.00
2015-01-20,买入,127.64,251,32036.85,13.78,29.02%,0.70,0.00
2017-06-27,卖出,400.40,-226,90489.47,33.87,86.87%,0.50,0.00
2017-10-16,卖出,471.41,-297,140009.33,36.75,95.24%,0.00,0.00
2018-10-26,买入,528.48,98,51791.27,24.26,49.07%,0.20,0.00
2019-09-23,卖出,1002.44,-98,98238.99,36.64,95.01%,0.00,0.00
2022-10-28,买入,1243.81,48,59702.69,28.67,49.55%,0.20,0.00
2024-04-11,买入,1525.69,35,53399.24,27.70,39.63%,0.40,0.00
2024-06-24,买入,1351.15,71,95931.74,23.78,29.21%,0.70,0.00
