日期,当前价格,持仓数量,当前市值,累计投入,净投入,最大回撤
2024-11-04,3944.76,12.34,48678.36,49986.76,47974.93,2.62%
2024-11-05,4044.57,11.85,47928.18,49986.76,45993.09,4.12%
2024-11-06,4024.28,11.85,47687.75,49986.76,45993.09,4.60%
2024-11-07,4145.70,11.37,47136.55,49986.76,44003.16,5.70%
2024-11-08,4104.05,11.86,48674.00,51997.74,46014.14,5.70%
2024-11-11,4131.13,11.86,48995.22,51997.74,46014.14,5.70%
2024-11-12,4085.74,11.86,48456.91,51997.74,46014.14,5.70%
2024-11-13,4110.89,11.86,48755.16,51997.74,46014.14,5.70%
2024-11-14,4039.62,12.36,49929.69,54017.55,48033.95,5.70%
2024-11-15,3968.83,12.86,51039.16,56001.97,50018.37,5.70%
2024-11-18,3950.38,12.86,50801.89,56001.97,50018.37,5.70%
2024-11-19,3976.89,12.86,51142.82,56001.97,50018.37,5.70%
2024-11-20,3985.77,12.86,51257.04,56001.97,50018.37,5.70%
2024-11-21,3989.30,12.86,51302.37,56001.97,50018.37,5.70%
2024-11-22,3865.70,13.379999999999999,51723.05,58012.13,52028.53,5.70%
2024-11-25,3848.09,13.379999999999999,51487.46,58012.13,52028.53,5.70%
2024-11-26,3840.18,13.379999999999999,51381.67,58012.13,52028.53,5.70%
2024-11-27,3907.04,12.87,50283.67,58012.13,50035.94,5.70%
2024-11-28,3872.55,12.87,49839.72,58012.13,50035.94,5.70%
2024-11-29,3916.58,12.87,50406.43,58012.13,50035.94,5.70%
2024-12-02,3947.63,12.36,48792.73,58012.13,48022.64,5.70%
2024-12-03,3951.89,12.36,48845.38,58012.13,48022.64,5.70%
2024-12-04,3930.56,12.36,48581.68,58012.13,48022.64,6.07%
2024-12-05,3921.59,12.36,48470.83,58012.13,48022.64,6.29%
2024-12-06,3973.14,12.36,49108.02,58012.13,48022.64,6.29%
2024-12-09,3966.57,12.36,49026.82,58012.13,48022.64,6.29%
2024-12-10,3995.64,11.86,47388.25,58012.13,46024.83,8.38%
