日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,目标仓位
2020-01-02,4152.24,12.45,0.0000,0.00,100000.00,100000.00,0.0000,1.00
2020-01-03,4144.96,12.44,0.0000,99479.04,125.73,99604.77,0.9987,1.00
2020-01-06,4129.30,12.40,0.0000,99103.20,125.73,99228.93,0.9987,1.00
2020-01-07,4160.23,12.47,0.7500,99845.52,125.73,99971.25,0.9987,0.20
2020-01-08,4112.32,12.32,0.0000,20561.60,78774.76,99336.36,0.2070,1.00
2020-01-09,4164.37,12.42,0.3333,99944.88,5.76,99950.64,0.9999,0.70
2020-01-10,4163.18,12.43,0.4286,70774.06,29247.35,100021.41,0.7076,0.50
2020-01-13,4203.99,12.53,0.8750,54651.87,45914.24,100566.11,0.5434,0.00
2020-01-14,4189.89,12.49,0.7778,0.00,100708.58,100708.58,0.0000,0.20
2020-01-15,4166.73,12.42,0.2000,16666.92,83960.22,100627.14,0.1656,1.00
2020-01-16,4149.04,12.34,0.0909,99576.96,459.65,100036.61,0.9954,1.00
2020-01-17,4154.85,12.35,0.1667,99716.40,459.65,100176.05,0.9954,1.00
2020-01-20,4185.83,12.42,0.3077,100459.92,459.65,100919.57,0.9954,0.70
2020-01-21,4114.31,12.23,0.0000,69943.27,29613.33,99556.60,0.7025,1.00
2020-01-22,4131.93,12.28,0.0667,99166.32,955.30,100121.62,0.9905,1.00
2020-01-23,4003.90,11.96,0.0000,96093.60,955.30,97048.90,0.9902,1.00
2020-02-03,3688.36,11.04,0.0000,88520.64,955.30,89475.94,0.9893,1.00
2020-02-04,3785.64,11.29,0.0556,90855.36,955.30,91810.66,0.9896,1.00
2020-02-05,3828.53,11.40,0.1053,91884.72,955.30,92840.02,0.9897,1.00
2020-02-06,3899.78,11.58,0.1500,93594.72,955.30,94550.02,0.9899,1.00
2020-02-07,3899.87,11.57,0.1429,93596.88,955.30,94552.18,0.9899,1.00
2020-02-10,3916.01,11.61,0.2273,93984.24,955.30,94939.54,0.9899,0.70
2020-02-11,3952.46,11.71,0.2609,67191.82,28438.86,95630.68,0.7026,0.70
2020-02-12,3984.43,11.78,0.2917,67735.31,28438.86,96174.17,0.7043,0.70
2020-02-13,3959.92,11.71,0.2400,67318.64,28438.86,95757.50,0.7030,0.70
2020-02-14,3987.73,11.78,0.3077,67791.41,28438.86,96230.27,0.7045,0.70
2020-02-17,4077.42,12.03,0.4074,69316.14,28438.86,97755.00,0.7091,0.50
2020-02-18,4057.51,11.96,0.3571,48690.12,48787.00,97477.12,0.4995,0.70
2020-02-19,4051.31,11.96,0.3448,64820.96,32587.83,97408.79,0.6655,0.70
2020-02-20,4144.66,12.19,0.4667,66314.56,32587.83,98902.39,0.6705,0.50
2020-02-21,4149.49,12.24,0.5161,49793.88,49126.48,98920.36,0.5034,0.50
2020-02-24,4132.84,12.17,0.4375,49594.08,49126.48,98720.56,0.5024,0.50
2020-02-25,4123.85,12.08,0.4242,49486.20,49126.48,98612.68,0.5018,0.50
2020-02-26,4073.02,11.98,0.3824,48876.24,49126.48,98002.72,0.4987,0.70
2020-02-27,4084.88,11.98,0.3714,65358.08,32789.34,98147.42,0.6659,0.70
2020-02-28,3940.05,11.57,0.0833,63040.80,32789.34,95830.14,0.6578,1.00
2020-03-02,4069.67,11.88,0.2973,97672.08,1037.03,98709.11,0.9895,0.70
2020-03-03,4091.36,11.94,0.3158,69553.12,29911.57,99464.69,0.6993,0.70
2020-03-04,4115.05,12.00,0.4615,69955.85,29911.57,99867.42,0.7005,0.50
2020-03-05,4206.73,12.25,0.6250,54687.49,46511.58,101199.07,0.5404,0.20
2020-03-06,4138.51,12.07,0.4878,20692.55,79775.52,100468.07,0.2060,0.50
2020-03-09,3997.13,11.70,0.1667,47965.56,51332.54,99298.10,0.4830,1.00
2020-03-10,4082.73,11.91,0.3023,97985.52,3627.39,101612.91,0.9643,0.70
2020-03-11,4028.43,11.78,0.2273,72511.74,28171.74,100683.48,0.7202,0.70
2020-03-12,3950.91,11.59,0.1333,71116.38,28171.74,99288.12,0.7163,1.00
2020-03-13,3895.31,11.44,0.0652,97382.75,1773.35,99156.10,0.9821,1.00
2020-03-16,3727.84,11.07,0.0213,93196.00,1773.35,94969.35,0.9813,1.00
2020-03-17,3709.68,11.02,0.0000,92742.00,1773.35,94515.35,0.9812,1.00
2020-03-18,3636.26,10.82,0.0000,90906.50,1773.35,92679.85,0.9809,1.00
2020-03-19,3589.09,10.66,0.0000,89727.25,1773.35,91500.60,0.9806,1.00
2020-03-20,3653.22,10.84,0.0392,91330.50,1773.35,93103.85,0.9810,1.00
2020-03-23,3530.31,10.50,0.0000,88257.75,1773.35,90031.10,0.9803,1.00
2020-03-24,3625.11,10.78,0.0377,90627.75,1773.35,92401.10,0.9808,1.00
2020-03-25,3722.52,11.04,0.1111,93063.00,1773.35,94836.35,0.9813,1.00
2020-03-26,3698.05,10.94,0.0909,92451.25,1773.35,94224.60,0.9812,1.00
2020-03-27,3710.06,10.96,0.1071,92751.50,1773.35,94524.85,0.9812,1.00
2020-03-30,3674.11,10.88,0.0877,91852.75,1773.35,93626.10,0.9811,1.00
2020-03-31,3686.16,10.85,0.0862,92154.00,1773.35,93927.35,0.9811,1.00
2020-04-01,3675.08,10.81,0.0508,91877.00,1773.35,93650.35,0.9811,1.00
2020-04-02,3734.53,10.98,0.1667,93363.25,1773.35,95136.60,0.9814,1.00
2020-04-03,3713.22,10.92,0.1311,92830.50,1773.35,94603.85,0.9813,1.00
2020-04-07,3798.02,11.13,0.2581,94950.50,1773.35,96723.85,0.9817,0.70
2020-04-08,3780.34,11.07,0.2381,68046.12,28206.97,96253.09,0.7069,0.70
2020-04-09,3792.81,11.10,0.2656,68270.58,28206.97,96477.55,0.7076,0.70
2020-04-10,3769.18,11.03,0.2000,67845.24,28206.97,96052.21,0.7063,1.00
2020-04-13,3753.26,10.99,0.1818,93831.50,1943.69,95775.19,0.9797,1.00
2020-04-14,3825.70,11.17,0.3134,95642.50,1943.69,97586.19,0.9801,0.70
2020-04-15,3797.36,11.10,0.2794,68352.48,28688.30,97040.78,0.7044,0.70
2020-04-16,3802.38,11.11,0.3043,68442.84,28688.30,97131.14,0.7046,0.70
2020-04-17,3839.49,11.20,0.3429,69110.82,28688.30,97799.12,0.7067,0.70
2020-04-20,3853.46,11.25,0.3521,69362.28,28688.30,98050.58,0.7074,0.70
2020-04-21,3808.05,11.13,0.3056,68544.90,28688.30,97233.20,0.7050,0.70
2020-04-22,3839.38,11.20,0.3425,69108.84,28688.30,97797.14,0.7067,0.70
2020-04-23,3829.75,11.16,0.3243,68935.50,28688.30,97623.80,0.7061,0.70
2020-04-24,3796.97,11.15,0.3200,68345.46,28688.30,97033.76,0.7043,0.70
2020-04-27,3822.77,11.24,0.3816,68809.86,28688.30,97498.16,0.7058,0.70
2020-04-28,3849.15,11.28,0.4026,69284.70,28688.30,97973.00,0.7072,0.50
2020-04-29,3867.03,11.40,0.4231,50271.39,47874.89,98146.28,0.5122,0.50
2020-04-30,3912.58,11.77,0.5570,50863.54,47874.89,98738.43,0.5151,0.50
