日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2023-03-02,卖出,4119.99,-6,25259.47,11.33,24.31%,0.70,1.24
2023-03-10,买入,3991.80,6,23950.80,11.03,19.84%,1.00,1.20
2023-03-23,卖出,3985.99,-6,24902.56,11.34,22.05%,0.70,1.20
2023-04-19,卖出,4159.39,-5,20752.14,11.79,40.35%,0.50,1.04
2023-04-20,买入,4122.95,4,16491.80,11.79,37.80%,0.70,0.82
2023-05-24,买入,3903.78,7,27326.46,11.00,19.51%,1.00,1.37
2023-06-16,卖出,3932.21,-6,24401.72,11.29,22.70%,0.70,1.18
2023-06-21,买入,3909.10,6,23454.60,11.00,19.29%,1.00,1.17
2023-07-31,卖出,4018.89,-6,24143.41,11.36,28.98%,0.70,1.21
2023-08-14,买入,3840.89,6,23045.34,10.94,15.30%,1.00,1.15
2023-09-05,卖出,3839.58,-6,23843.94,11.13,26.23%,0.70,1.15
2023-09-08,买入,3747.65,6,22485.90,10.96,16.09%,1.00,1.12
2023-10-19,买入,3588.52,1,3588.52,10.59,9.48%,1.00,0.18
2024-02-23,卖出,3491.34,-6,23389.11,10.96,21.66%,0.70,1.05
2024-02-27,买入,3440.05,6,20640.30,10.90,15.54%,1.00,1.03
2024-03-01,卖出,3515.06,-6,22672.03,10.95,20.06%,0.70,1.05
2024-04-02,卖出,3593.22,-5,18893.36,11.37,40.72%,0.50,0.90
2024-04-09,买入,3533.38,4,14133.52,11.25,38.57%,0.70,0.71
2024-04-16,卖出,3533.36,-4,14869.39,11.29,41.47%,0.50,0.71
2024-04-17,买入,3509.13,4,14036.52,11.44,38.73%,0.70,0.70
2024-04-18,卖出,3550.56,-4,14661.18,11.44,43.41%,0.50,0.71
2024-04-24,买入,3514.01,4,14056.04,11.29,37.39%,0.70,0.70
2024-04-29,卖出,3584.54,-4,14509.89,11.47,44.36%,0.50,0.72
2024-07-26,买入,3403.71,4,13614.84,11.27,37.52%,0.70,0.68
2024-08-30,买入,3273.75,8,26190.00,10.86,17.33%,1.00,1.31
2024-09-25,卖出,3403.70,-7,24305.90,11.11,21.88%,0.70,1.19
2024-09-27,卖出,3617.92,-5,17361.36,11.77,45.78%,0.50,0.90
2024-10-08,卖出,4450.37,-7,24305.90,13.23,69.16%,0.20,1.56
2024-10-31,买入,3888.42,6,23330.52,11.65,59.67%,0.50,1.17
2024-11-06,卖出,4051.29,-6,22195.57,12.00,60.41%,0.20,1.22
2024-11-07,买入,3987.27,6,23923.62,12.34,59.42%,0.50,1.20
2024-11-08,卖出,4192.08,-6,23138.14,12.22,64.22%,0.20,1.26
2024-11-13,买入,4059.59,6,24357.54,12.16,59.81%,0.50,1.22
2024-11-14,卖出,4101.22,-6,23803.27,12.02,60.87%,0.20,1.23
2024-11-15,买入,4025.65,6,24153.90,11.88,59.37%,0.50,1.21
2024-11-19,买入,3954.60,1,3954.60,11.92,57.41%,0.50,0.20
2024-12-11,卖出,3988.02,-7,27967.66,12.03,60.48%,0.20,1.40
2024-12-16,买入,3930.78,7,27515.46,11.97,57.58%,0.50,1.38
2024-12-19,卖出,3911.89,-7,27703.88,12.03,60.35%,0.20,1.37
2024-12-20,买入,3937.47,7,27562.29,11.97,59.97%,0.50,1.38
2024-12-24,卖出,3934.94,-7,27621.28,12.23,60.61%,0.20,1.38
2025-01-03,买入,3825.24,7,26776.68,11.73,55.48%,0.50,1.34
2025-02-17,卖出,3954.41,-7,27128.60,12.04,60.26%,0.20,1.38
2025-02-19,买入,3906.22,7,27343.54,12.02,59.68%,0.50,1.37
2025-02-20,卖出,3934.65,-7,27253.98,11.99,60.19%,0.20,1.38
2025-02-21,买入,3938.05,7,27566.35,12.09,59.58%,0.50,1.38
2025-02-24,卖出,3972.48,-7,27436.20,12.03,61.95%,0.20,1.39
2025-02-26,买入,3931.84,7,27522.88,11.96,56.95%,0.50,1.38
2025-03-17,卖出,4020.64,-7,27486.76,12.11,62.40%,0.20,1.41
2025-03-24,买入,3916.11,7,27412.77,11.92,56.83%,0.50,1.37
2025-04-08,买入,3597.99,6,21587.94,11.29,25.00%,0.70,1.08
2025-04-11,卖出,3730.31,-5,19065.03,11.46,40.40%,0.50,0.93
2025-05-15,卖出,3934.03,-8,30504.05,11.90,60.63%,0.20,1.57
2025-05-16,买入,3898.67,7,27290.69,11.83,58.81%,0.50,1.36
2025-06-12,卖出,3885.52,-6,23177.86,12.04,62.78%,0.20,1.17
2025-06-26,卖出,3953.16,-1,3862.98,12.44,69.44%,0.20,0.20
2025-10-10,卖出,4679.50,-5,19314.88,13.36,80.63%,0.00,1.17
2025-10-13,买入,4490.87,4,17963.48,13.30,79.37%,0.20,0.90
2025-10-17,卖出,4610.70,-4,17963.48,13.27,80.87%,0.00,0.92
2025-10-20,买入,4558.24,4,18232.96,13.33,78.33%,0.20,0.91
2025-10-22,卖出,4576.03,-4,18232.96,13.47,80.95%,0.00,0.92
2025-11-03,买入,4636.73,4,18546.92,13.28,76.67%,0.20,0.93
2025-11-07,卖出,4673.76,-4,18546.92,13.35,80.32%,0.00,0.93
2025-11-10,买入,4688.12,4,18752.48,13.41,79.76%,0.20,0.94
2025-11-11,卖出,4706.34,-4,18752.48,13.33,80.63%,0.00,0.94
2025-11-12,买入,4643.56,4,18574.24,13.38,79.44%,0.20,0.93
2025-11-13,卖出,4643.79,-4,18574.24,13.46,80.40%,0.00,0.93
2025-11-17,买入,4616.81,4,18467.24,13.20,79.13%,0.20,0.92
