日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2020-01-03,买入,4161.22,24,99869.28,12.44,0.00%,1.00,4.99
2020-01-08,卖出,4139.63,-19,79063.18,12.32,75.00%,0.20,3.93
2020-01-09,买入,4145.53,19,78765.07,12.42,0.00%,1.00,3.94
2020-01-10,卖出,4177.58,-7,29041.59,12.43,33.33%,0.70,1.46
2020-01-13,卖出,4166.93,-4,16595.19,12.53,42.86%,0.50,0.83
2020-01-14,卖出,4215.16,-13,53934.38,12.49,87.50%,0.00,2.74
2020-01-15,买入,4186.88,4,16747.52,12.42,77.78%,0.20,0.84
2020-01-16,买入,4174.82,20,83496.40,12.34,20.00%,1.00,4.17
2020-01-21,卖出,4165.02,-7,29237.81,12.23,30.77%,0.70,1.46
2020-01-22,买入,4093.80,7,28656.60,12.28,0.00%,1.00,1.43
2020-02-11,卖出,3926.42,-7,29068.29,11.71,22.73%,0.70,1.37
2020-02-18,卖出,4069.83,-5,20763.06,11.96,40.74%,0.50,1.02
2020-02-19,买入,4049.59,4,16198.36,11.96,35.71%,0.70,0.81
2020-02-21,卖出,4134.87,-4,16507.43,12.24,46.67%,0.50,0.83
2020-02-27,买入,4084.08,4,16336.32,11.98,38.24%,0.70,0.82
2020-03-02,买入,3968.84,8,31750.72,11.88,8.33%,1.00,1.59
2020-03-03,卖出,4125.14,-7,28469.39,11.94,29.73%,0.70,1.44
2020-03-05,卖出,4150.21,-4,16268.22,12.25,46.15%,0.50,0.83
2020-03-06,卖出,4158.20,-8,32536.44,12.07,62.50%,0.20,1.66
2020-03-09,买入,4063.08,7,28441.56,11.70,48.78%,0.50,1.42
2020-03-10,买入,3975.23,12,47702.76,11.91,16.67%,1.00,2.39
2020-03-11,卖出,4090.93,-6,24119.90,11.78,30.23%,0.70,1.23
2020-03-13,买入,3771.01,7,26397.07,11.44,13.33%,1.00,1.32
2020-04-08,卖出,3776.42,-7,27651.89,11.07,25.81%,0.70,1.32
2020-04-13,买入,3751.71,7,26261.97,10.99,20.00%,1.00,1.31
2020-04-15,卖出,3820.85,-7,27262.72,11.10,31.34%,0.70,1.34
2020-04-29,卖出,3837.51,-5,19473.37,11.40,40.26%,0.50,0.96
2020-05-11,卖出,3974.76,-7,27262.72,11.87,60.98%,0.20,1.39
2020-05-13,买入,3946.64,6,23679.84,11.87,59.52%,0.50,1.18
2020-05-14,卖出,3952.20,-6,23523.94,11.75,61.18%,0.20,1.19
2020-05-15,买入,3941.13,6,23646.78,11.72,51.16%,0.50,1.18
2020-05-25,买入,3828.32,5,19141.60,11.50,39.13%,0.70,0.96
2020-05-27,卖出,3873.70,-4,15602.90,11.55,44.68%,0.50,0.77
2020-05-28,买入,3848.49,4,15393.96,11.59,40.00%,0.70,0.77
2020-05-29,卖出,3838.38,-4,15553.74,11.60,43.75%,0.50,0.77
2020-06-02,卖出,3969.95,-7,27219.04,11.91,64.29%,0.20,1.39
2020-06-09,卖出,4027.56,-1,3888.43,12.08,76.70%,0.20,0.20
2020-06-19,卖出,4047.05,-5,19442.17,12.27,81.98%,0.00,1.01
2020-09-25,买入,4582.48,4,18329.92,13.82,76.54%,0.20,0.92
2020-09-29,卖出,4608.29,-4,18329.92,13.89,80.66%,0.00,0.92
2020-10-09,买入,4663.61,4,18654.44,14.10,79.78%,0.20,0.93
2020-10-12,卖出,4705.19,-4,18654.44,14.50,91.30%,0.00,0.94
2020-11-02,买入,4702.75,4,18811.00,13.96,76.38%,0.20,0.94
2020-11-04,卖出,4781.45,-4,18811.00,14.20,86.07%,0.00,0.96
2021-03-10,买入,5047.06,4,20188.24,14.97,78.95%,0.20,1.01
2021-03-12,卖出,5153.67,-4,20188.24,15.35,85.02%,0.00,1.03
2021-03-22,买入,5008.40,4,20033.60,15.09,77.13%,0.20,1.00
2021-03-23,卖出,5057.06,-4,20033.60,14.96,80.27%,0.00,1.01
2021-03-24,买入,4985.40,4,19941.60,14.76,77.63%,0.20,1.00
2021-04-16,买入,4966.90,6,29801.40,14.34,59.81%,0.50,1.49
2021-04-19,卖出,4966.41,-5,24871.50,14.60,61.22%,0.20,1.24
2021-04-26,卖出,5156.59,-1,4974.30,14.36,69.40%,0.20,0.26
2021-04-28,买入,5073.97,6,30443.82,14.35,59.56%,0.50,1.52
2021-04-29,卖出,5128.28,-5,25170.51,14.14,60.31%,0.20,1.28
2021-04-30,买入,5156.36,4,20625.44,13.52,54.83%,0.50,1.03
2021-05-06,买入,5098.80,5,25494.00,13.41,38.82%,0.70,1.27
2021-05-17,卖出,5115.31,-3,15276.42,13.77,40.43%,0.50,0.77
2021-05-18,卖出,5190.93,-1,5092.14,13.78,43.03%,0.50,0.26
2021-06-16,卖出,5163.25,-6,30552.84,14.04,60.57%,0.20,1.55
2021-06-17,买入,5074.38,6,30446.28,14.05,54.13%,0.50,1.52
2021-06-25,卖出,5159.80,-5,25407.42,14.39,60.78%,0.20,1.29
2021-06-28,卖出,5253.61,-1,5081.48,14.40,65.64%,0.20,0.26
2021-07-05,买入,5073.78,6,30442.68,14.01,49.59%,0.50,1.52
2021-07-27,买入,4924.28,4,19697.12,13.03,34.30%,0.70,0.98
2021-12-14,卖出,5066.35,-3,15099.80,13.62,49.36%,0.50,0.76
2022-01-07,买入,4824.32,3,14472.96,13.16,39.26%,0.70,0.72
2022-01-11,卖出,4840.01,-3,14965.48,13.09,40.33%,0.50,0.73
2022-01-12,买入,4818.89,3,14456.67,13.19,39.02%,0.70,0.72
2022-01-13,卖出,4853.03,-3,14856.45,13.02,40.16%,0.50,0.73
2022-01-14,买入,4743.91,3,14231.73,12.88,38.26%,0.70,0.71
2022-02-07,买入,4638.58,1,4638.58,12.69,26.93%,0.70,0.23
2022-03-08,买入,4361.64,6,26169.84,11.83,16.35%,1.00,1.31
2022-06-15,卖出,4228.29,-5,23693.76,11.95,20.30%,0.70,1.06
2022-06-29,卖出,4472.73,-1,4738.75,12.18,31.28%,0.70,0.22
2022-07-15,买入,4299.47,6,25796.82,11.61,19.58%,1.00,1.29
2023-01-17,卖出,4138.84,-5,23066.21,11.20,20.19%,0.70,1.03
2023-01-18,买入,4140.10,5,20700.50,11.20,19.49%,1.00,1.04
2023-01-20,卖出,4166.84,-5,22502.95,11.33,20.78%,0.70,1.04
2023-02-07,买入,4098.31,5,20491.55,11.13,17.65%,1.00,1.02
2023-02-10,卖出,4124.10,-5,22024.04,11.17,20.51%,0.70,1.03
2023-02-13,买入,4098.88,5,20494.40,11.24,18.88%,1.00,1.02
2023-02-14,卖出,4151.25,-5,21659.84,11.26,20.85%,0.70,1.04
2023-02-17,买入,4086.22,5,20431.10,11.03,18.65%,1.00,1.02
2023-02-21,卖出,4130.06,-5,21367.29,11.34,23.22%,0.70,1.03
2023-02-27,买入,4040.46,6,24242.76,11.09,17.59%,1.00,1.21
