日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,目标仓位
2020-01-02,30.19,10.84,0.0000,0.00,100000.00,100000.00,0.0000,1.00
2020-01-03,30.60,10.99,0.5000,0.00,100000.00,100000.00,0.0000,0.50
2020-01-06,30.47,10.94,0.3333,49792.56,50268.40,100060.96,0.4976,0.70
2020-01-07,30.40,10.92,0.2500,69865.89,29873.59,99739.48,0.7005,0.70
2020-01-08,29.83,10.71,0.0000,68515.48,29903.83,98419.32,0.6962,1.00
2020-01-09,30.21,10.85,0.3333,69389.54,29903.83,99293.37,0.6988,0.70
2020-01-10,30.32,10.89,0.4286,69730.22,29813.20,99543.43,0.7005,0.50
2020-01-13,30.36,10.91,0.5000,49857.82,49883.74,99741.57,0.4999,0.50
2020-01-14,30.14,10.82,0.1111,49488.03,49883.74,99371.78,0.4980,1.00
2020-01-15,29.60,10.63,0.0000,48608.19,49883.74,98491.93,0.4935,1.00
2020-01-16,29.48,10.59,0.0000,48404.17,49883.74,98287.91,0.4925,1.00
2020-01-17,29.46,10.58,0.0000,48365.91,49883.74,98249.66,0.4923,1.00
2020-01-20,29.75,10.40,0.0000,48850.47,49883.74,98734.21,0.4948,1.00
2020-01-21,29.35,10.26,0.0000,97372.58,487.84,97860.42,0.9950,1.00
2020-01-22,29.37,10.27,0.0667,97919.80,19.39,97939.19,0.9998,1.00
2020-01-23,28.59,10.00,0.0000,95304.81,19.39,95324.20,0.9998,1.00
2020-02-03,27.20,9.51,0.0000,90696.21,19.39,90715.60,0.9998,1.00
2020-02-04,27.45,9.60,0.0556,91524.72,19.39,91544.11,0.9998,1.00
2020-02-05,27.46,9.60,0.1053,91550.61,19.39,91570.00,0.9998,1.00
2020-02-06,27.76,9.71,0.1500,92560.36,19.39,92579.75,0.9998,1.00
2020-02-07,27.51,9.62,0.1429,91705.96,19.39,91725.35,0.9998,1.00
2020-02-10,27.26,9.53,0.0455,90877.45,19.39,90896.84,0.9998,1.00
2020-02-11,27.62,9.66,0.2174,92094.32,19.39,92113.71,0.9998,0.70
2020-02-12,27.65,9.67,0.2500,64553.57,27558.86,92112.43,0.7008,0.70
2020-02-13,27.39,9.58,0.0800,63900.40,27614.04,91514.44,0.6983,1.00
2020-02-14,27.68,9.68,0.3077,92469.30,50.71,92520.01,0.9995,0.70
2020-02-17,28.09,9.82,0.3704,65727.60,27746.36,93473.96,0.7032,0.70
2020-02-18,27.72,9.70,0.3214,64596.29,28025.91,92622.20,0.6974,0.70
2020-02-19,27.59,9.70,0.3103,64509.42,27804.73,92314.15,0.6988,0.70
2020-02-20,27.94,9.77,0.4000,65438.22,27693.96,93132.17,0.7026,0.70
2020-02-21,27.68,9.68,0.2581,64598.43,27916.98,92515.41,0.6982,0.70
2020-02-24,27.22,9.52,0.0312,63665.13,27779.17,91444.30,0.6962,1.00
2020-02-25,26.89,9.40,0.0000,90332.89,204.56,90537.45,0.9977,1.00
2020-02-26,27.05,9.46,0.0294,91043.93,17.50,91061.43,0.9998,1.00
2020-02-27,27.35,9.56,0.1429,92063.37,17.50,92080.87,0.9998,1.00
2020-02-28,26.56,9.29,0.0000,89397.14,17.50,89414.64,0.9998,1.00
2020-03-02,26.99,9.44,0.0541,90834.81,17.50,90852.31,0.9998,1.00
2020-03-03,26.89,9.40,0.0263,90495.00,17.50,90512.50,0.9998,1.00
2020-03-04,27.01,9.45,0.1026,90913.23,17.50,90930.73,0.9998,1.00
2020-03-05,28.14,9.84,0.5750,94703.46,17.50,94720.96,0.9998,0.50
2020-03-06,27.50,9.62,0.3171,46307.51,46829.34,93136.84,0.4972,0.70
2020-03-09,26.54,9.28,0.0000,62907.70,28246.77,91154.47,0.6901,1.00
2020-03-10,26.93,9.42,0.0930,63827.94,28246.77,92074.71,0.6932,1.00
2020-03-11,26.75,9.36,0.0455,63404.63,28246.77,91651.40,0.6918,1.00
2020-03-12,26.53,9.28,0.0000,90857.72,86.48,90944.20,0.9990,1.00
2020-03-13,25.95,9.07,0.0000,88940.73,10.06,88950.79,0.9999,1.00
2020-03-16,24.59,8.60,0.0000,84308.68,10.06,84318.74,0.9999,1.00
2020-03-17,24.64,8.62,0.0208,84468.40,10.06,84478.46,0.9999,1.00
2020-03-18,23.93,8.37,0.0000,82045.89,10.06,82055.95,0.9999,1.00
2020-03-19,22.76,7.96,0.0000,78026.12,10.06,78036.18,0.9999,1.00
2020-03-20,24.10,8.43,0.0392,82631.56,10.06,82641.62,0.9999,1.00
2020-03-23,23.42,8.19,0.0192,80288.91,10.06,80298.97,0.9999,1.00
2020-03-24,24.47,8.56,0.0755,83882.74,10.06,83892.80,0.9999,1.00
2020-03-25,25.23,8.82,0.1296,86491.60,10.06,86501.66,0.9999,1.00
2020-03-26,25.41,8.89,0.1455,87103.88,10.06,87113.94,0.9999,1.00
2020-03-27,25.41,8.89,0.1429,87103.88,10.06,87113.94,0.9999,1.00
2020-03-30,25.36,8.87,0.1404,86917.54,10.06,86927.60,0.9999,1.00
2020-03-31,25.07,8.77,0.1207,85932.56,10.06,85942.62,0.9999,1.00
2020-04-01,24.95,8.73,0.1186,85533.24,10.06,85543.30,0.9999,1.00
2020-04-02,25.11,8.78,0.1500,86092.28,10.06,86102.35,0.9999,1.00
2020-04-03,24.97,8.73,0.1311,85586.49,10.06,85596.55,0.9999,1.00
2020-04-07,25.25,8.83,0.1935,86571.46,10.06,86581.52,0.9999,1.00
2020-04-08,25.02,8.75,0.1429,85772.83,10.06,85782.89,0.9999,1.00
2020-04-09,25.08,8.77,0.1719,85985.80,10.06,85995.86,0.9999,1.00
2020-04-10,24.93,8.72,0.1077,85453.38,10.06,85463.44,0.9999,1.00
2020-04-13,24.80,8.67,0.1061,85000.82,10.06,85010.88,0.9999,1.00
2020-04-14,25.40,8.88,0.2687,87077.26,10.06,87087.32,0.9999,0.70
2020-04-15,25.18,8.80,0.2206,60423.75,26025.98,86449.73,0.6989,0.70
2020-04-16,24.93,8.72,0.1159,59902.12,25950.96,85853.08,0.6977,1.00
