日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2020-01-06,买入,30.43,1634,49729.11,10.94,50.00%,0.50,2.49
2020-01-07,买入,30.71,664,20393.79,10.92,33.33%,0.70,1.02
2020-01-08,卖出,30.25,-1,30.51,10.71,25.00%,0.70,0.00
2020-01-10,买入,30.21,3,90.63,10.89,33.33%,0.70,0.00
2020-01-13,卖出,30.50,-658,20078.45,10.91,42.86%,0.50,1.00
2020-01-21,买入,29.47,1676,49393.43,10.26,0.00%,1.00,2.47
2020-01-22,买入,29.28,16,468.43,10.27,0.00%,1.00,0.02
2020-02-12,卖出,27.57,-999,29953.95,9.67,21.74%,0.70,1.38
2020-02-13,卖出,27.59,-2,59.97,9.58,25.00%,0.70,0.00
2020-02-14,买入,27.34,1008,27561.95,9.68,8.00%,1.00,1.38
2020-02-17,卖出,27.67,-1001,29216.40,9.82,30.77%,0.70,1.38
2020-02-18,卖出,27.96,-10,291.87,9.70,37.04%,0.70,0.01
2020-02-19,买入,27.65,8,221.17,9.70,32.14%,0.70,0.01
2020-02-20,买入,27.69,4,110.77,9.77,31.03%,0.70,0.01
2020-02-21,卖出,27.88,-8,233.44,9.68,40.00%,0.70,0.01
2020-02-24,买入,27.56,5,137.80,9.52,25.81%,0.70,0.01
2020-02-25,买入,27.03,1020,27573.23,9.40,3.12%,1.00,1.38
2020-02-26,买入,26.72,7,187.05,9.46,0.00%,1.00,0.01
2020-03-06,卖出,27.83,-1682,47972.87,9.62,57.50%,0.50,2.34
2020-03-09,买入,27.09,686,18581.64,9.28,31.71%,0.70,0.93
2020-03-12,买入,26.69,1055,28158.88,9.28,4.55%,1.00,1.41
2020-03-13,买入,25.47,3,76.41,9.07,0.00%,1.00,0.00
2020-04-15,卖出,25.31,-1028,28442.99,8.80,26.87%,0.70,1.30
2020-04-16,买入,25.01,3,75.02,8.72,22.06%,0.70,0.00
2020-04-20,卖出,25.54,-9,248.98,8.93,32.86%,0.70,0.01
2020-04-22,买入,25.20,4,100.80,8.89,26.39%,0.70,0.01
2020-04-23,卖出,25.49,-1,27.66,8.88,32.88%,0.70,0.00
2020-04-27,买入,25.43,4,101.73,9.12,24.00%,0.70,0.01
