日期,周期ID,当前价格,持仓数量,当前市值,距上次调仓天数,相对涨跌幅,累计投入,累计净投入,最大回撤
2024-11-04,Cycle_1,3944.76,2.57,10138.04,1,1.41%,9997.35,9997.35,0.00%
2024-11-04,Cycle_2,3944.76,5.14,20276.08,1,1.41%,19994.70,19994.70,0.00%
2024-11-04,Cycle_3,3944.76,7.71,30414.11,1,1.41%,29992.06,29992.06,0.00%
2024-11-04,Cycle_4,3944.76,10.28,40552.15,1,1.41%,39989.41,39989.41,0.00%
2024-11-05,Cycle_1,4044.57,2.4899999999999998,10070.99,0,0.00%,9997.35,9673.79,0.66%
2024-11-05,Cycle_2,4044.57,5.14,20789.10,2,3.97%,19994.70,19994.70,0.00%
2024-11-05,Cycle_3,4044.57,7.71,31183.65,2,3.97%,29992.06,29992.06,0.00%
2024-11-05,Cycle_4,4044.57,10.28,41578.21,2,3.97%,39989.41,39989.41,0.00%
2024-11-06,Cycle_1,4024.28,2.4899999999999998,10020.46,1,-0.50%,9997.35,9673.79,1.16%
2024-11-06,Cycle_2,4024.28,5.14,20684.82,3,3.45%,19994.70,19994.70,0.50%
2024-11-06,Cycle_3,4024.28,7.71,31027.22,3,3.45%,29992.06,29992.06,0.50%
2024-11-06,Cycle_4,4024.28,10.28,41369.63,3,3.45%,39989.41,39989.41,0.50%
2024-11-07,Cycle_1,4145.70,2.4299999999999997,10074.04,0,0.00%,9997.35,9425.04,1.16%
2024-11-07,Cycle_2,4145.70,4.88,20230.99,0,0.00%,19994.70,18916.82,2.68%
2024-11-07,Cycle_3,4145.70,7.71,31963.31,4,6.57%,29992.06,29992.06,0.50%
2024-11-07,Cycle_4,4145.70,10.28,42617.75,4,6.57%,39989.41,39989.41,0.50%
2024-11-08,Cycle_1,4104.05,2.4299999999999997,9972.83,1,-1.00%,9997.35,9425.04,1.63%
2024-11-08,Cycle_2,4104.05,4.88,20027.75,1,-1.00%,19994.70,18916.82,3.66%
2024-11-08,Cycle_3,4104.05,7.71,31642.20,5,5.50%,29992.06,29992.06,1.00%
2024-11-08,Cycle_4,4104.05,10.28,42189.60,5,5.50%,39989.41,39989.41,1.00%
2024-11-11,Cycle_1,4131.13,2.4299999999999997,10038.65,2,-0.35%,9997.35,9425.04,1.63%
2024-11-11,Cycle_2,4131.13,4.88,20159.92,2,-0.35%,19994.70,18916.82,3.66%
2024-11-11,Cycle_3,4131.13,7.71,31851.02,6,6.20%,29992.06,29992.06,1.00%
2024-11-11,Cycle_4,4131.13,10.28,42468.03,6,6.20%,39989.41,39989.41,1.00%
2024-11-12,Cycle_1,4085.74,2.4299999999999997,9928.36,3,-1.45%,9997.35,9425.04,2.07%
2024-11-12,Cycle_2,4085.74,4.88,19938.43,3,-1.45%,19994.70,18916.82,4.09%
2024-11-12,Cycle_3,4085.74,7.71,31501.08,7,5.03%,29992.06,29992.06,1.45%
2024-11-12,Cycle_4,4085.74,10.28,42001.44,7,5.03%,39989.41,39989.41,1.45%
2024-11-13,Cycle_1,4110.89,2.4299999999999997,9989.46,4,-0.84%,9997.35,9425.04,2.07%
2024-11-13,Cycle_2,4110.89,4.88,20061.14,4,-0.84%,19994.70,18916.82,4.09%
2024-11-13,Cycle_3,4110.89,7.71,31694.96,8,5.68%,29992.06,29992.06,1.45%
2024-11-13,Cycle_4,4110.89,10.28,42259.95,8,5.68%,39989.41,39989.41,1.45%
2024-11-14,Cycle_1,4039.62,2.4799999999999995,10018.26,0,0.00%,10199.33,9627.03,2.07%
2024-11-14,Cycle_2,4039.62,4.88,19713.34,5,-2.56%,19994.70,18916.82,5.17%
2024-11-14,Cycle_3,4039.62,7.71,31145.46,9,3.85%,29992.06,29992.06,2.56%
2024-11-14,Cycle_4,4039.62,10.28,41527.28,9,3.85%,39989.41,39989.41,2.56%
2024-11-15,Cycle_1,3968.83,2.4799999999999995,9842.70,1,-1.75%,10199.33,9627.03,2.91%
2024-11-15,Cycle_2,3968.83,5.05,20042.60,0,0.00%,20669.41,19591.52,5.17%
2024-11-15,Cycle_3,3968.83,7.71,30599.69,10,2.03%,29992.06,29992.06,4.27%
2024-11-15,Cycle_4,3968.83,10.28,40799.58,10,2.03%,39989.41,39989.41,4.27%
