日期,当前价格,持仓数量,当前市值,累计投入,净投入,最大回撤
2021-01-05,5368.50,9.49,50947.11,49990.64,49990.64,0.00%
2021-01-06,5417.67,9.49,51413.67,49990.64,49990.64,0.00%
2021-01-07,5513.66,9.49,52324.60,49990.64,49990.64,0.00%
2021-01-08,5495.43,9.49,52151.64,49990.64,49990.64,0.33%
2021-01-11,5441.16,9.49,51636.59,49990.64,49990.64,1.31%
2021-01-12,5596.35,7.7,43091.91,49990.64,39973.17,17.65%
2021-01-13,5577.97,7.7,42950.38,49990.64,39973.17,17.92%
2021-01-14,5470.46,7.7,42122.51,49990.64,39973.17,19.50%
2021-01-15,5458.08,7.7,42027.23,49990.64,39973.17,19.68%
2021-01-18,5518.52,7.7,42492.61,49990.64,39973.17,19.68%
2021-01-19,5437.52,7.7,41868.93,49990.64,39973.17,19.98%
2021-01-20,5476.43,7.7,42168.54,49990.64,39973.17,19.98%
2021-01-21,5564.97,7.7,42850.26,49990.64,39973.17,19.98%
2021-01-22,5569.78,7.7,42887.28,49990.64,39973.17,19.98%
2021-01-25,5625.92,7.7,43319.61,49990.64,39973.17,19.98%
2021-01-26,5512.97,7.7,42449.85,49990.64,39973.17,19.98%
2021-01-27,5528.00,7.7,42565.63,49990.64,39973.17,19.98%
2021-01-28,5377.14,7.7,41404.00,49990.64,39973.17,20.87%
2021-01-29,5351.96,7.7,41210.13,49990.64,39973.17,21.24%
2021-02-01,5417.65,7.7,41715.89,49990.64,39973.17,21.24%
2021-02-02,5501.09,7.7,42358.40,49990.64,39973.17,21.24%
2021-02-03,5485.20,7.7,42236.05,49990.64,39973.17,21.24%
2021-02-04,5473.95,7.7,42149.40,49990.64,39973.17,21.24%
2021-02-05,5483.41,7.7,42222.29,49990.64,39973.17,21.24%
2021-02-08,5564.56,7.7,42847.13,49990.64,39973.17,21.24%
2021-02-09,5686.25,7.7,43784.13,49990.64,39973.17,21.24%
