日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-01-06,买入,10.52,2826,29718.26,21.65,36.99%,0.30,1.49
2015-01-08,买入,10.31,1988,20487.58,20.75,32.72%,0.50,1.02
2015-01-20,买入,9.50,3268,31033.42,19.63,20.03%,0.80,1.55
2016-01-28,买入,9.41,1984,18666.56,18.44,13.37%,1.00,0.93
2018-01-11,卖出,26.61,-5031,133886.24,33.51,80.06%,0.50,6.69
2020-08-04,卖出,32.29,-3183,102786.54,39.61,92.03%,0.20,5.14
2021-01-08,卖出,42.73,-381,16279.69,40.90,96.47%,0.20,0.81
2021-07-06,买入,29.75,1504,44751.05,24.31,42.39%,0.30,2.24
2021-07-28,买入,26.28,2403,63160.83,22.37,32.13%,0.50,3.16
2022-10-21,买入,26.22,3314,86905.05,20.13,19.82%,0.80,4.35
2022-10-25,买入,24.97,2307,57598.81,19.60,12.06%,1.00,2.88
