日期,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,相对上次涨跌幅,手续费
2024-11-01,初始建仓,3890.02,12.85,49986.76,12.85,49986.76,0.00%,2.50
2024-11-07,网格卖出,4145.70,-2.41,-9991.13,10.44,43281.06,6.57%,0.50
2024-11-22,网格买入,3865.70,2.59,10012.16,13.03,50370.06,-6.75%,0.50
2025-04-07,网格买入,3589.44,2.79,10014.54,15.82,56784.95,-7.15%,0.50
2025-04-16,网格卖出,3772.82,-2.65,-9997.97,13.17,49688.04,5.11%,0.50
2025-07-03,网格卖出,3968.07,-2.52,-9999.53,10.65,42259.92,5.18%,0.50
2025-08-13,网格卖出,4176.58,-2.39,-9982.02,8.26,34498.53,5.25%,0.50
2025-08-25,网格卖出,4469.22,-2.24,-10011.06,6.02,26904.71,7.01%,0.50
2025-10-09,网格卖出,4709.48,-2.12,-9984.10,3.8999999999999995,18366.98,5.38%,0.50
2025-11-21,网格买入,4453.61,2.25,10020.62,6.1499999999999995,27389.69,-5.43%,0.50
